"Years","Median Age 3 (in millions)","Lower 95th Age 3 (in millions)","Upper 95th Age 3 (in millions)","Median Pre-fishery biomass (in 1000s metric tons)","Lower 95th Biomass (in 1000s metric tons)","Upper 95th Biomass (in 1000s metric tons)","Catch (metric tons)","Median Exploitation rate","Lower 95th ER","Upper 95th ER","Probability B<20K"
1980,225.2,153.26,325.86,66.98465,54.46569,84.41691,7143.76,0.11,0.08,0.13,0
1981,115.75,75.92,171.32,68.54625,55.72414,86.30749,14140.11,0.21,0.16,0.25,0
1982,165.6,122.43,223.95,59.1801,46.20418,77.29467,8097.08,0.14,0.1,0.18,0
1983,491.9,393.72,621.49,79.33155,61.98558,102.87405,3069.28,0.04,0.03,0.05,0
1984,391.59,310.75,502.01,93.3146,73.84667,118.99732,6956.55,0.07,0.06,0.09,0
1985,112.25,83.43,150.8,106.313,84.35613,135.62592,8172.3,0.08,0.06,0.1,0
1986,143.48,108.72,188.83,92.40515,73.46541,117.0189,11360.92,0.12,0.1,0.15,0
1987,1308.62,1061.15,1636,126.804,101.13323,161.42692,6748.05,0.05,0.04,0.07,0
1988,139,104.53,187.98,142.833,114.82195,180.24382,10039.84,0.07,0.06,0.09,0
1989,25.08,18.21,39.71,133.358,106.63918,169.85707,500.3,0,0,0,0
1990,27.51,15.32,46.47,113.3265,91.09865,143.84487,10461.09,0.09,0.07,0.11,0
1991,673.62,509.36,922.22,106.3845,84.42224,136.8071,16510.43,0.16,0.12,0.2,0
1992,29.66,15.52,59.72,92.73275,71.14274,123.71115,20838.19,0.22,0.17,0.29,0
1993,71.37,42.35,118.42,46.691,35.66444,61.19388,2631.78,0.06,0.04,0.07,0
1994,12.87,5.85,25.81,23.2594,17.35848,31.34254,0,0,0,0,0.15
1995,67.48,49.91,90.73,22.65505,17.6741,29.25293,0,0,0,0,0.16
1996,39.7,28.5,55.85,22.5305,17.9605,28.4581,511.94,0.02,0.02,0.03,0.15
1997,83.92,62.45,113.11,24.69265,19.81181,31.12277,4917.92,0.2,0.16,0.25,0.03
1998,66.42,46.38,95.57,19.75705,15.19957,26.14745,4150.79,0.21,0.16,0.27,0.53
1999,6.11,2.67,12.53,14.90185,10.68562,20.74887,50.16,0,0,0,0.96
2000,31.74,19.59,49.65,14.06485,10.14182,19.43122,0,0,0,0,0.98
2001,9.99,4.54,20.13,13.48605,9.74424,18.65497,0,0,0,0,0.99
2002,237.96,167.05,337.9,17.9861,13.10947,24.51318,0,0,0,0,0.74
2003,50.02,30.41,79.24,25.8761,18.75204,35.60539,0,0,0,0,0.05
2004,26.52,13.96,46.89,26.08285,18.89054,36.06964,0,0,0,0,0.05
2005,35.89,20.65,61.78,21.18725,15.21015,29.59327,0,0,0,0,0.36
2006,26.08,14.39,44.9,19.34635,13.63065,27.42081,0,0,0,0,0.58
2007,134.46,90.3,196.45,22.47455,15.67155,32.11417,0,0,0,0,0.25
2008,109.13,72.25,160.65,26.75505,18.90688,37.29988,0,0,0,0,0.05
2009,42.78,25.53,69.96,24.5885,17.46617,33.99754,0,0,0,0,0.11
2010,54.51,34.48,86.04,23.2282,16.54992,32.05942,0,0,0,0,0.18
2011,13.22,6.43,25.31,19.14055,13.65426,26.40231,0,0,0,0,0.6
2012,39.98,24.72,62.75,16.8487,11.96542,23.34266,0,0,0,0,0.85
2013,12.17,6.23,22.06,13.75435,9.72239,19.25985,0,0,0,0,0.99
2014,6.4,2.93,12.64,10.62285,7.5257,14.90878,0,0,0,0,1
2015,16.55,9.51,28.11,7.34199,5.17691,10.41527,0,0,0,0,1
2016,18.29,10.71,30.99,5.83486,4.13627,8.23323,0,0,0,0,1
2017,38.11,24.03,60.56,5.39194,3.80509,7.8259,0,0,0,0,1
2018,17.82,8.88,34.79,6.02776,4.19737,8.90749,0,0,0,0,1
2019,213.62,140.94,329.12,12.38215,8.64323,18.08325,0,0,0,0,0.99
2020,41.84,22.09,77.04,16.76565,11.48873,25.05851,0,0,0,0,0.8
2021,31.76,14.57,66.97,20.21165,13.63478,30.49864,0,0,0,0,0.48
2022,61.05,25.95,132.89,22.36535,14.94767,33.84953,0,0,0,0,0.29
2023,111.02,34.41,348.6,26.53765,17.38925,42.47241,0,0,0,0,0.1
