Milt (mile-days) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,86.36,38.99,194.2
1981,83.39,36.75,189.21
1982,62.88,27.91,140.02
1983,96.2,43.42,209.95
1984,106.34,47.62,234
1985,119.27,54.01,267.19
1986,102.53,44.89,223.3
1987,166.37,74.29,357.64
1988,157.21,71.82,342.25
1989,186.26,82.75,409.93
1990,135.37,60.9,304.54
1991,130.12,57.77,291.89
1992,106.87,46.71,248.25
1993,56.5,25.58,122.99
1994,33.27,14.54,76.81
1995,35.9,16.45,77.1
1996,31.24,14.35,67.55
1997,27.95,12.27,60.14
1998,21.24,9.63,44.87
1999,21.96,9.71,48.14
2000,21.44,9.41,46.39
2001,20.5,8.85,44.75
2002,24.67,10.95,52.25
2003,37.3,17.08,82.93
2004,33.43,15,74.57
2005,29.65,13.41,66.24
2006,27.49,11.65,61.26
2007,29.46,13.2,66.94
2008,39.8,18.21,87.41
2009,37.29,16.67,81.73
2010,38.79,17.73,86.27
2011,27.78,12.62,59.31
2012,25.33,11.3,55.57
2013,19.13,8.6,42.16
2014,20.12,9.19,44.99
2015,10.99,4.6,24.12
2016,9.67,4.36,22.01
2017,8.68,3.72,19.47
2018,9.95,4.31,23.06
2019,17.95,7.78,40.99
2020,31.72,13.52,73.85

Eggs deposited (trillions) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1983,NA,NA,NA
1984,7.133,3.149,15.943
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,9.196,4.234,20.936
1989,8.287,3.8,17.772
1990,6.23,2.798,13.363
1991,5.705,2.507,12.701
1992,4.329,1.881,10.058
1993,NA,NA,NA
1994,1.566,0.723,3.496
1995,1.283,0.575,2.756
1996,1.594,0.737,3.483
1997,1.586,0.711,3.536
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,NA,NA,NA
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,NA,NA,NA
2011,NA,NA,NA
2012,NA,NA,NA
2013,NA,NA,NA
2014,NA,NA,NA
2015,NA,NA,NA
2016,NA,NA,NA
2017,NA,NA,NA
2018,NA,NA,NA
2019,NA,NA,NA
2020,NA,NA,NA

ADF&G acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,38.62,17.97,80.34
1981,39.18,18.54,80.63
1982,34.06,15.79,69.79
1983,44.97,20.19,91.46
1984,53.79,25.26,106.48
1985,60.95,28.93,121.93
1986,52.56,24.94,108.33
1987,72.8,32.96,146.19
1988,82.15,38.78,164.54
1989,75.76,36.44,155.5
1990,64.81,31.35,136.96
1991,61.05,28.38,124.01
1992,53.38,24.25,111.15
1993,26.9,12.62,56.61
1994,13.56,6.17,28.36
1995,13.15,5.95,26.71
1996,13.04,6.29,25.58
1997,14.43,6.75,28.92
1998,11.43,5.31,23.74
1999,8.6,4.15,17.83
2000,8.17,3.87,16.8
2001,7.8,3.66,15.9
2002,10.36,4.87,21.24
2003,14.91,7.43,28.88
2004,14.82,7.49,28.96
2005,12.13,6.23,23.19
2006,10.78,5.49,21.64
2007,12.67,6.22,24.76
2008,15.11,7.68,28.85
2009,14.18,6.97,27.41
2010,13.38,6.56,25.88
2011,11.11,5.48,21.93
2012,9.83,4.88,19.45
2013,8.18,3.86,16.31
2014,6.35,2.91,12.88
2015,4.37,2.02,9.13
2016,3.5,1.71,7.24
2017,3.31,1.54,6.92
2018,3.86,1.77,8.08
2019,7.99,3.62,17.29
2020,10.9,4.76,24.5

PWSSC acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,48.39,22.21,105.33
1981,49.11,23.21,107.8
1982,42.56,19.52,92.26
1983,56.86,25.92,124.68
1984,65.9,30.46,144.78
1985,74.86,35.37,168.72
1986,65.78,30.9,142.08
1987,89.96,42.26,191.9
1988,101.82,46.71,224.21
1989,95.08,44.31,210.21
1990,81.77,35.98,172.43
1991,75.85,35.11,162.94
1992,66.05,30.62,143.91
1993,33.29,15.73,70.95
1994,17.04,7.76,36.6
1995,16.65,7.73,34
1996,16.35,7.55,34.12
1997,18.14,8.76,37.96
1998,14.2,7.01,30.42
1999,10.77,4.9,22.84
2000,10.14,4.86,21.22
2001,9.64,4.48,20.1
2002,13.03,5.99,27.71
2003,18.54,9.01,39.8
2004,19.08,8.84,40.26
2005,15.19,7.32,32.81
2006,13.64,6.31,29.16
2007,15.91,7.35,33.29
2008,19.01,9.05,39.2
2009,17.61,8.19,37.91
2010,16.77,7.93,35.04
2011,14.09,6.59,29.92
2012,12.32,5.74,25.62
2013,10.3,4.77,21.71
2014,7.84,3.61,16.51
2015,5.48,2.57,11.65
2016,4.39,2,9.18
2017,4.19,1.92,9.11
2018,4.8,2.15,10.28
2019,9.95,4.45,22.17
2020,13.5,5.8,30.27

Age-1 Aerial survey (# of small schools) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1983,NA,NA,NA
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,NA,NA,NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,NA,NA,NA
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,3653,0,19497.9
2011,NA,NA,NA
2012,601,0,4703.15
2013,1375,0,10416.57
2014,1542,0,33757.22
2015,4268.5,0,35098.57
2016,1126,0,13237.2
2017,23461.5,0,185861.92
2018,2795.5,0,34886.55
2019,1219,0,17331.9
2020,1863.5,0,41514.07
