"Years","Median Age 3 (in millions)","Lower 95th Age 3 (in millions)","Upper 95th Age 3 (in millions)","Median Pre-fishery biomass (in 1000s metric tons)","Lower 95th Biomass (in 1000s metric tons)","Upper 95th Biomass (in 1000s metric tons)","Catch (metric tons)","Median Exploitation rate","Lower 95th ER","Upper 95th ER","Probability B<20K"
1980,226.94,149.6,327.12,64.49154,51.68602,82.37811,7143.76,0.11,0.09,0.14,0
1981,116.64,76.18,172.49,67.15421,54.16784,85.33518,14140.11,0.21,0.17,0.26,0
1982,163.89,118.83,227.86,59.29253,45.96087,77.35331,8097.08,0.14,0.1,0.18,0
1983,489.14,388.25,619.54,79.90398,62.08814,103.33632,3069.28,0.04,0.03,0.05,0
1984,391.05,310.18,499.51,93.84691,74.14374,119.50725,6956.55,0.07,0.06,0.09,0
1985,113.16,83.19,149.57,106.58721,84.06213,134.86403,8172.3,0.08,0.06,0.1,0
1986,143.75,107.09,191.2,92.42229,73.26285,116.33082,11360.92,0.12,0.1,0.16,0
1987,1317.17,1065.71,1639.53,126.70355,100.39406,159.89998,6748.05,0.05,0.04,0.07,0
1988,140.7,104.15,193.67,143.40851,114.51931,179.72056,10039.84,0.07,0.06,0.09,0
1989,25.67,18.62,40.58,134.46102,106.41715,169.54326,500.3,0,0,0,0
1990,27.82,15.54,49.3,114.38324,91.08587,144.53745,10461.09,0.09,0.07,0.11,0
1991,673.84,507.55,922.07,106.85502,84.60073,137.53166,16510.43,0.15,0.12,0.2,0
1992,29.05,15.54,57.13,93.17477,70.76771,125.1844,20838.19,0.22,0.17,0.29,0
1993,73.2,42.78,126.08,46.98467,35.71416,61.63015,2631.78,0.06,0.04,0.07,0
1994,13.64,5.89,29.17,23.3595,17.33134,31.64906,0,0,0,0,0.15
1995,68.41,50.64,92.38,22.50864,17.4851,29.2631,0,0,0,0,0.17
1996,40.2,28.69,56.24,22.38071,17.85348,28.38997,511.94,0.02,0.02,0.03,0.16
1997,84.56,61.8,114.7,24.61952,19.65426,31.11431,4917.92,0.2,0.16,0.25,0.03
1998,66.7,46.36,94.29,19.77709,14.94528,25.87306,4150.79,0.21,0.16,0.28,0.53
1999,6.19,2.68,12.59,14.88307,10.46638,20.58042,50.16,0,0,0,0.96
2000,32.02,19.66,50.99,14.09871,10.01285,19.42204,0,0,0,0,0.99
2001,10.15,4.5,20.28,13.54556,9.63583,18.75795,0,0,0,0,0.99
2002,240.24,167.2,346.03,18.00334,13.0605,24.76287,0,0,0,0,0.75
2003,50.03,30.3,81.49,26.03817,18.76255,36.06218,0,0,0,0,0.06
2004,26.48,13.69,46.81,26.21056,18.7234,36.29373,0,0,0,0,0.06
2005,36.38,20.56,61.29,21.27609,15.11795,29.72587,0,0,0,0,0.36
2006,26.32,14.65,45.86,19.38851,13.65887,27.45079,0,0,0,0,0.57
2007,134.97,90.38,197.59,22.46556,15.72202,32.02795,0,0,0,0,0.25
2008,109.59,73.31,162.52,26.72236,18.85271,37.101,0,0,0,0,0.04
2009,43.38,25.8,68.85,24.64224,17.40405,34.11048,0,0,0,0,0.1
2010,54.9,34.05,84.84,23.25566,16.53223,32.01661,0,0,0,0,0.18
2011,13.36,6.42,24.87,19.17217,13.51671,26.27709,0,0,0,0,0.6
2012,40,25.44,61.54,16.83552,11.91815,23.07884,0,0,0,0,0.85
2013,12.08,6.05,21.99,13.71221,9.63909,19.04915,0,0,0,0,0.99
2014,6.29,2.95,12.45,10.60223,7.43425,14.75793,0,0,0,0,1
2015,16.33,9.42,27.1,7.28009,5.01295,10.29211,0,0,0,0,1
2016,18.24,10.54,30.75,5.77784,3.99497,8.16328,0,0,0,0,1
2017,37.05,23.04,58.85,5.29314,3.63228,7.5633,0,0,0,0,1
2018,17.01,8.75,31.77,5.88406,4.03052,8.66275,0,0,0,0,1
2019,194.65,127.82,298.72,11.53617,7.921,16.84948,0,0,0,0,1
2020,42.11,22.71,73.02,15.55817,10.56865,23.133,0,0,0,0,0.89
2021,31.94,16.08,61.82,18.85441,12.74833,28.02967,0,0,0,0,0.62
2022,97.04,51.53,175.54,22.55148,15.10975,33.65824,0,0,0,0,0.28
2023,149.27,76.85,279.5,29.50618,19.65166,44.87904,0,0,0,0,0.03
2024,60.07,23.38,147.56,31.98243,20.80311,49.83064,0,0,0,0,0.01
