# Seine Fishery Age Composition (proportion of each age): Median Posterior Prediction
"# Year","3","4","5","6","7","8","9+"
"1980",0.071,0.857,0.071,0,0,0,0
"1981",0,0.167,0.667,0,0,0,0
"1982",0.062,0.125,0.25,0.5,0.062,0,0
"1983",0.136,0.182,0.136,0.136,0.318,0.045,0
"1984",0.086,0.429,0.143,0.057,0.086,0.171,0.029
"1985",0.02,0.306,0.367,0.082,0.041,0.041,0.122
"1986",0.027,0.1,0.347,0.32,0.073,0.033,0.093
"1987",0.258,0.113,0.082,0.227,0.206,0.041,0.052
"1988",0.017,0.655,0.068,0.034,0.096,0.09,0.034
"1989",NA,NA,NA,NA,NA,NA,NA
"1990",0,0.021,0.093,0.691,0.052,0.021,0.113
"1991",0.133,0.022,0.017,0.083,0.617,0.044,0.078
"1992",0,0.483,0.017,0.017,0.05,0.367,0.05
"1993",NA,NA,NA,NA,NA,NA,NA
"1994",NA,NA,NA,NA,NA,NA,NA
"1995",NA,NA,NA,NA,NA,NA,NA
"1996",NA,NA,NA,NA,NA,NA,NA
"1997",0.083,0.167,0.25,0.042,0.083,0,0.333
"1998",0.083,0.333,0.167,0.167,0,0.083,0.083
"1999",NA,NA,NA,NA,NA,NA,NA
"2000",NA,NA,NA,NA,NA,NA,NA
"2001",NA,NA,NA,NA,NA,NA,NA
"2002",NA,NA,NA,NA,NA,NA,NA
"2003",NA,NA,NA,NA,NA,NA,NA
"2004",NA,NA,NA,NA,NA,NA,NA
"2005",NA,NA,NA,NA,NA,NA,NA
"2006",NA,NA,NA,NA,NA,NA,NA
"2007",NA,NA,NA,NA,NA,NA,NA
"2008",NA,NA,NA,NA,NA,NA,NA
"2009",NA,NA,NA,NA,NA,NA,NA
"2010",NA,NA,NA,NA,NA,NA,NA
"2011",NA,NA,NA,NA,NA,NA,NA
"2012",NA,NA,NA,NA,NA,NA,NA
"2013",NA,NA,NA,NA,NA,NA,NA
"2014",NA,NA,NA,NA,NA,NA,NA
"2015",NA,NA,NA,NA,NA,NA,NA
"2016",NA,NA,NA,NA,NA,NA,NA
"2017",NA,NA,NA,NA,NA,NA,NA
"2018",NA,NA,NA,NA,NA,NA,NA
"2019",NA,NA,NA,NA,NA,NA,NA
"2020",NA,NA,NA,NA,NA,NA,NA
"2021",NA,NA,NA,NA,NA,NA,NA
"2022",NA,NA,NA,NA,NA,NA,NA
"2023",NA,NA,NA,NA,NA,NA,NA
"2024",NA,NA,NA,NA,NA,NA,NA

# Seine Fishery Age Composition (proportion of each age): Lower 95% Posterior Predictive Interval
"# Year","3","4","5","6","7","8","9+"
"1980",0,0.571,0,0,0,0,0
"1981",0,0,0.333,0,0,0,0
"1982",0,0,0.062,0.25,0,0,0
"1983",0,0.045,0,0,0.136,0,0
"1984",0,0.257,0.029,0,0,0.057,0
"1985",0,0.163,0.224,0.02,0,0,0.041
"1986",0.007,0.047,0.26,0.24,0.033,0.007,0.047
"1987",0.165,0.052,0.031,0.144,0.124,0.01,0.01
"1988",0,0.565,0.034,0.011,0.051,0.045,0.011
"1989",NA,NA,NA,NA,NA,NA,NA
"1990",0,0,0.041,0.588,0.01,0,0.052
"1991",0.078,0,0,0.044,0.533,0.017,0.039
"1992",0,0.35,0,0,0,0.233,0
"1993",NA,NA,NA,NA,NA,NA,NA
"1994",NA,NA,NA,NA,NA,NA,NA
"1995",NA,NA,NA,NA,NA,NA,NA
"1996",NA,NA,NA,NA,NA,NA,NA
"1997",0,0.042,0.083,0,0,0,0.125
"1998",0,0.083,0,0,0,0,0
"1999",NA,NA,NA,NA,NA,NA,NA
"2000",NA,NA,NA,NA,NA,NA,NA
"2001",NA,NA,NA,NA,NA,NA,NA
"2002",NA,NA,NA,NA,NA,NA,NA
"2003",NA,NA,NA,NA,NA,NA,NA
"2004",NA,NA,NA,NA,NA,NA,NA
"2005",NA,NA,NA,NA,NA,NA,NA
"2006",NA,NA,NA,NA,NA,NA,NA
"2007",NA,NA,NA,NA,NA,NA,NA
"2008",NA,NA,NA,NA,NA,NA,NA
"2009",NA,NA,NA,NA,NA,NA,NA
"2010",NA,NA,NA,NA,NA,NA,NA
"2011",NA,NA,NA,NA,NA,NA,NA
"2012",NA,NA,NA,NA,NA,NA,NA
"2013",NA,NA,NA,NA,NA,NA,NA
"2014",NA,NA,NA,NA,NA,NA,NA
"2015",NA,NA,NA,NA,NA,NA,NA
"2016",NA,NA,NA,NA,NA,NA,NA
"2017",NA,NA,NA,NA,NA,NA,NA
"2018",NA,NA,NA,NA,NA,NA,NA
"2019",NA,NA,NA,NA,NA,NA,NA
"2020",NA,NA,NA,NA,NA,NA,NA
"2021",NA,NA,NA,NA,NA,NA,NA
"2022",NA,NA,NA,NA,NA,NA,NA
"2023",NA,NA,NA,NA,NA,NA,NA
"2024",NA,NA,NA,NA,NA,NA,NA

# Seine Fishery Age Composition (proportion of each age): Upper 95% Posterior Predictive Interval
"# Year","3","4","5","6","7","8","9+"
"1980",0.214,1,0.357,0,0,0,0
"1981",0.167,0.667,1,0.333,0,0,0
"1982",0.188,0.375,0.5,0.75,0.25,0,0
"1983",0.318,0.409,0.273,0.318,0.545,0.182,0
