Milt (mile-days) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",82.741,36.007,185.512
"1981",81.971,37.141,180.032
"1982",62.806,27.686,139.252
"1983",95.062,41.765,208.443
"1984",106.856,48.691,237.464
"1985",120.369,54.623,258.086
"1986",102.288,46.834,217.831
"1987",168.397,77.337,360.225
"1988",158.455,70.771,344.041
"1989",189.412,86.486,401.563
"1990",135.25,63.096,287.715
"1991",129.774,58.87,291.678
"1992",106.227,48.3,228.469
"1993",55.815,24.881,119.518
"1994",33.328,14.769,73.443
"1995",35.184,16.051,76.976
"1996",31.504,14.255,68.303
"1997",27.619,12.643,59.959
"1998",20.871,9.385,45.198
"1999",21.476,9.44,45.54
"2000",21.128,9.651,45.769
"2001",19.938,8.96,43.765
"2002",24.746,11.293,53.968
"2003",37.361,17.474,80.509
"2004",33.412,15.284,74.834
"2005",29.393,13.691,66.657
"2006",27.892,12.382,58.864
"2007",30.116,13.978,67.241
"2008",40.216,18.612,91.43
"2009",36.964,16.665,81.653
"2010",38.838,18.39,85.152
"2011",27.228,12.264,57.823
"2012",24.58,10.93,51.973
"2013",18.55,8.584,39.932
"2014",19.332,8.77,42.45
"2015",10.436,4.746,22.473
"2016",9.141,4.135,20.334
"2017",7.655,3.474,17.312
"2018",8.747,3.929,19.299
"2019",15.003,6.887,34.483
"2020",26.608,12.264,59.697
"2021",27.718,12.839,61.928
"2022",32.795,14.827,72.944
"2023",41.555,19.218,91.758
"2024",36.834,16.536,82.599

Eggs deposited (trillions) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1984",7.24,3.219,16.181
"1988",9.333,4.232,20.882
"1989",8.235,3.696,18.18
"1990",6.35,2.866,13.965
"1991",5.632,2.592,12.855
"1992",4.386,1.922,9.992
"1993",3.099,1.326,7.145
"1994",1.578,0.709,3.606
"1995",1.277,0.571,2.818
"1996",1.556,0.712,3.491
"1997",1.6,0.718,3.497

ADF&G acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",36601.722,17036.384,76902.315
"1981",38312.072,18145.29,79109.014
"1982",33775.335,15660.544,71560.738
"1983",44964.346,21066.826,94489.627
"1984",53536.724,25038.107,110963.843
"1985",60406.195,28486.392,126414.732
"1986",52194.596,23463.698,108698.377
"1987",71786.862,34216.378,146824.118
"1988",81227.632,38387.761,172584.32
"1989",76313.375,35668.378,153469.907
"1990",65294.835,29946.42,131019.24
"1991",60593.279,27655.231,128332.397
"1992",52847.089,25052.648,110702.063
"1993",26580.735,12218.365,55300.712
"1994",13058.853,6020.037,27193.602
"1995",12696.057,5934.308,26785.665
"1996",12854.646,6170.036,26193.168
"1997",13844.241,6866.228,29127.33
"1998",11227.429,5363.337,22724.648
"1999",8342.22,3972.163,17290.893
"2000",7974.517,3746.503,16382.634
"2001",7632.29,3666.658,15627.369
"2002",10224.516,4971.36,19899.737
"2003",14586.013,7385.385,28820.885
"2004",14736.443,7402.152,28637.575
"2005",12118.786,6046.414,23919.675
"2006",11036.986,5606.817,21893.789
"2007",12855.574,6354.406,25215.198
"2008",15085.151,7622.825,29131.569
"2009",13943.968,7075.247,27902.838
"2010",13201.059,6546.068,25486.626
"2011",10877.271,5301.589,21764.283
"2012",9509.532,4675.78,18324.794
"2013",7736.203,3779.623,15834.264
"2014",6022.022,2897.703,11904.445
"2015",4112.412,1990.697,8430.096
"2016",3336.185,1520.378,6868.742
"2017",2991.367,1391.79,6212.457
"2018",3368.555,1575.445,7014.565
"2019",6467.207,3042.649,13408.72
"2020",8883.125,4174.948,18766.082
"2021",10656.288,4887.592,22580.507
"2022",12873.597,6019.946,27005.382
"2023",16680.22,7608.456,34917.726
"2024",18214.714,8217.404,39005.992

PWSSC acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",47672.038,21641.238,103386.11
"1981",49670.694,22400.058,107478.45
"1982",44056.482,20015.856,94425.955
"1983",59063.181,26898.641,123227.7
"1984",68857.308,31705.912,150021.257
"1985",76873.829,35649.03,166580.574
"1986",67627.485,30548.481,146101.773
"1987",93591.235,41965.893,202696.936
"1988",105799.882,48819.73,226076.021
"1989",99227.493,45407.335,212579.468
"1990",83695.397,37715.273,175064.155
"1991",78312.407,35537.853,174004.351
"1992",67947.262,31806.407,150998.788
"1993",34473.848,16358.449,73210.03
"1994",17155.242,7747.051,38222.978
"1995",16612.111,7709.571,34674.817
