# Seine Fishery Age Composition (proportion of each age): Median Posterior Prediction
"# Year","3","4","5","6","7","8","9+"
1980,0.062,0.812,0.125,0,0,0,0
1981,0,0.143,0.714,0,0,0,0
1982,0.053,0.158,0.211,0.526,0.053,0,0
1983,0.12,0.2,0.12,0.16,0.32,0.04,0
1984,0.071,0.429,0.143,0.071,0.071,0.167,0.024
1985,0.017,0.293,0.379,0.086,0.034,0.052,0.121
1986,0.029,0.097,0.349,0.32,0.074,0.034,0.091
1987,0.263,0.114,0.088,0.228,0.202,0.044,0.053
1988,0.014,0.659,0.067,0.038,0.096,0.087,0.034
1989,NA,NA,NA,NA,NA,NA,NA
1990,0,0.018,0.096,0.693,0.053,0.026,0.114
1991,0.133,0.019,0.019,0.085,0.616,0.043,0.076
1992,0,0.486,0.014,0.014,0.043,0.371,0.057
1993,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA
1997,0.071,0.143,0.286,0.036,0.107,0.036,0.321
1998,0.071,0.357,0.143,0.143,0,0.071,0.143
1999,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA

# Seine Fishery Age Composition (proportion of each age): Lower 95% Posterior Predictive Interval
"# Year","3","4","5","6","7","8","9+"
1980,0,0.562,0,0,0,0,0
1981,0,0,0.286,0,0,0,0
1982,0,0,0.053,0.263,0,0,0
1983,0.04,0.04,0,0.04,0.16,0,0
1984,0,0.262,0.048,0,0,0.071,0
1985,0,0.172,0.241,0.017,0,0,0.034
1986,0.006,0.051,0.269,0.246,0.034,0.011,0.051
1987,0.167,0.053,0.035,0.149,0.132,0.009,0.018
1988,0,0.572,0.034,0.01,0.058,0.048,0.01
1989,NA,NA,NA,NA,NA,NA,NA
1990,0,0,0.044,0.596,0.018,0,0.061
1991,0.081,0.005,0.005,0.047,0.536,0.019,0.038
1992,0,0.357,0,0,0,0.243,0
1993,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA
1997,0,0.036,0.107,0,0,0,0.143
1998,0,0.143,0,0,0,0,0
1999,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA

# Seine Fishery Age Composition (proportion of each age): Upper 95% Posterior Predictive Interval
"# Year","3","4","5","6","7","8","9+"
1980,0.188,1,0.375,0,0,0,0
1981,0.143,0.571,1,0.286,0,0,0
1982,0.158,0.316,0.474,0.737,0.211,0,0
1983,0.28,0.36,0.28,0.32,0.522,0.12,0
1984,0.167,0.595,0.262,0.167,0.19,0.31,0.071
1985,0.069,0.431,0.5,0.172,0.103,0.121,0.207
1986,0.063,0.154,0.429,0.394,0.12,0.069,0.149
1987,0.36,0.184,0.149,0.316,0.289,0.096,0.105
1988,0.038,0.736,0.111,0.067,0.149,0.13,0.062
1989,NA,NA,NA,NA,NA,NA,NA
1990,0.018,0.044,0.158,0.781,0.096,0.061,0.184
1991,0.194,0.052,0.043,0.128,0.692,0.076,0.123
1992,0.029,0.629,0.057,0.043,0.101,0.5,0.114
1993,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA
1997,0.179,0.286,0.464,0.107,0.25,0.107,0.5
1998,0.214,0.643,0.357,0.429,0.143,0.214,0.357
1999,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA
