Milt (mile-days) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,86.87,37.94,191.7
1981,82.84,37.11,188.09
1982,63.16,27.5,135.04
1983,95.56,43.42,210.74
1984,105.54,45.69,227.34
1985,121.1,54.59,262.55
1986,103.07,46.75,224.46
1987,165.51,76.17,365.97
1988,158.91,72.27,350.42
1989,186.4,84.72,406.12
1990,135.08,60.87,295.94
1991,128.2,58.22,285.68
1992,106.98,48.41,241.63
1993,55.87,24.74,124.12
1994,33.21,14.7,75.54
1995,35.48,15.71,79.97
1996,31.97,14.2,69.41
1997,27.66,12.44,60.06
1998,20.91,9.54,47
1999,21.52,9.86,47.47
2000,21.24,9.54,45.95
2001,20.3,9.28,43.34
2002,24.6,11.33,55.21
2003,37.29,17.25,81.22
2004,33.36,15.14,73.52
2005,29.72,13.49,65.06
2006,27.38,12.05,61.15
2007,29.83,13.34,66.5
2008,40.09,18.01,89.58
2009,37.17,16.75,81.06
2010,38.86,17.33,86.35
2011,27.46,12.53,60
2012,24.4,11.39,54.67
2013,18.98,8.27,41.3
2014,19.77,8.91,43.89
2015,10.82,4.84,24.04
2016,9.51,4.22,21.07
2017,8.27,3.64,18.62
2018,9.43,4.29,21.49
2019,17.21,7.8,40.05
2020,30.58,13.33,69.96
2021,32.61,13.77,77.15

Eggs deposited (trillions) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1983,NA,NA,NA
1984,7.128,3.256,15.732
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,9.309,4.236,20.268
1989,8.126,3.721,18.197
1990,6.3,2.767,13.942
1991,5.66,2.475,12.723
1992,4.372,1.991,10.095
1993,NA,NA,NA
1994,1.565,0.699,3.557
1995,1.278,0.591,2.817
1996,1.567,0.691,3.38
1997,1.605,0.711,3.533
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,NA,NA,NA
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,NA,NA,NA
2011,NA,NA,NA
2012,NA,NA,NA
2013,NA,NA,NA
2014,NA,NA,NA
2015,NA,NA,NA
2016,NA,NA,NA
2017,NA,NA,NA
2018,NA,NA,NA
2019,NA,NA,NA
2020,NA,NA,NA
2021,NA,NA,NA

ADF&G acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,37.82,17.41,81.3
1981,39.09,18.01,80.91
1982,33.71,15.71,70.04
1983,45.24,20.49,94.12
1984,53.52,25.06,109.88
1985,60.77,27.96,124.75
1986,52.84,24.73,110
1987,72.68,34.6,149.51
1988,81.8,38.11,168.09
1989,76.47,35.82,158.48
1990,64.94,30.16,130.64
1991,60.65,28.36,126.66
1992,53.28,25.18,112.46
1993,27.09,12.77,54.87
1994,13.38,6.32,28.56
1995,13.05,6.23,26.77
1996,12.97,6.1,26.88
1997,14.16,6.87,29.16
1998,11.35,5.58,23.28
1999,8.59,4.14,17.64
2000,8.09,3.84,16.39
2001,7.7,3.81,15.34
2002,10.19,5.08,20.54
2003,14.85,7.35,29.43
2004,14.91,7.59,29.75
2005,12.17,6.22,24.07
2006,10.92,5.61,21.83
2007,12.64,6.49,25.36
2008,15.27,7.72,30.32
2009,14.12,6.84,27.64
2010,13.37,6.65,25.84
2011,10.96,5.53,21.6
2012,9.63,4.82,19.36
2013,7.94,3.82,16.4
2014,6.22,2.99,12.36
2015,4.26,1.99,8.8
2016,3.39,1.57,7.08
2017,3.2,1.51,6.67
2018,3.66,1.67,7.59
2019,7.65,3.52,16.26
2020,10.2,4.53,21.92
2021,12.26,5.67,27.1

PWSSC acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
1980,48.54,22.04,106.2
1981,49.5,22.7,107.33
1982,42.73,19.67,93.05
1983,57.41,25.04,125.53
1984,67.8,31.32,143.42
1985,77.24,34.97,158.27
1986,66,30.22,144.24
1987,92.33,42.69,198.23
1988,104.6,47.78,219.56
1989,97.33,44.84,207.1
