"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"VHSV_age3_4_mort_93",0.102007170838486,0.00161354559656367,0.0694493323582192,0.00539439073064652,0.0475257913030212,0.0912708844215946,0.144386658842708,0.264988013349966,1842,1.00080992350875,1,0.0098074318679617,0.0912708844215946,0.230732394541107,0.000542540579527632,0.00180601539937771,0.00169943061477376,0.0020968591457652,0.00576013800236139,0.00114112871153855,1694,2107
"ICH_age5_8_mort_93",0.215164225950531,0.00129012035563241,0.071861414113775,0.0720305247761291,0.16668175137237,0.215823321838118,0.263677228449183,0.352516731432093,3061,1.00080537721941,1,0.0967982640374282,0.215823321838118,0.334900720042245,0.00566870271645117,0.00212135491750529,0.00133245127965254,0.00135012171008472,0.00273644395237266,0.00091233862303406,3049,1694
"Z_9",0.885390229052924,0.0015966973876978,0.118202875111656,0.670859349464459,0.80294854458563,0.880200295300768,0.960772246653922,1.12573513794233,5433,1.00052821563936,1,0.702757593397609,0.880200295300768,1.08333292786391,0.00260998113692112,0.00202449040680253,0.0022995538405316,0.00251318686952817,0.00791469855483584,0.00118659629002807,5843,3572
"mat_par_1",0.592568742480072,0.000510402102661508,0.0398731803758292,0.515187826475064,0.565530063137166,0.591476780935938,0.618781567355208,0.672695960982447,6037,1.00266818124394,1,0.528264378381547,0.591476780935938,0.660117064829314,0.00178178594362499,0.000797206938839889,0.000591735840565266,0.000919215974709064,0.00212356862934776,0.000365206044232436,6196,2822
"mat_par_2",0.939432241536143,0.000396249301140439,0.0338954454600527,0.863246925027859,0.918739190457187,0.944564041774219,0.96535557467603,0.990242947310408,7232,1.00106856106758,1,0.87630180249985,0.944564041774219,0.985531394824962,0.00160005695869225,0.000610850771211591,0.000576749566558621,0.000732886968607516,0.000733193702208479,0.000283882553058017,5546,2679
"seine_vuln_alpha",3.67932998549654,0.00148641681611699,0.102440628244282,3.46568828811362,3.61493911514901,3.68079686639483,3.74741586615845,3.87865722777958,4656,1.00035243324478,1,3.50883113691583,3.68079686639483,3.84611636129568,0.0104948703926535,0.00222749023342561,0.00166633874135047,0.00221311911455091,0.00605520895536626,0.00105111996087995,4950,2494
"seine_vuln_beta",2.86232907020236,0.00715367080404161,0.419636555577511,2.1982232905073,2.5868619910762,2.81034752519687,3.07495172020294,3.84582891329947,3406,1.00253017362839,1,2.29500785620029,2.81034752519687,3.57828673475372,0.0130160576710923,0.00579925691910654,0.00571210120154131,0.00881524182886118,0.0543952739693876,0.00560121461121892,5116,2358
"loginit_pop[1]",5.59707031984135,0.00164796082442124,0.158786113771413,5.28604744014845,5.49051795013797,5.59853619994588,5.70282502188351,5.90462393104603,9133,1.00184157518536,1,5.33828635656775,5.59853619994588,5.85935639155842,0.00768846880077145,0.00328858272893306,0.00191091547623179,0.0034284946104548,0.00564715158469697,0.00116532088033836,9288,3866
"loginit_pop[2]",4.99016610656116,0.00210253704446737,0.203593152465001,4.58840131569952,4.85548982188936,4.99352515663127,5.1300338390193,5.37721255065677,9220,1.00044456052844,1,4.64636437276779,4.99352515663127,5.31692374360877,0.00545996704120544,0.003657906462597,0.00270953091494341,0.00336478067531099,0.00692117397567671,0.00148676444661096,9593,3486
"loginit_pop[3]",5.39909415186202,0.00200949040963543,0.199425503421244,4.99899119083125,5.26762541335873,5.40402362666496,5.53643422576609,5.77925928672249,9666,1.00117903354932,1,5.0680089786842,5.40402362666496,5.72016480476157,0.0103381726314611,0.00429004716416292,0.00287942676289976,0.0033710159141207,0.00753566256514659,0.00142096637594507,9968,3865
"loginit_pop[4]",6.2646433194138,0.00134200562485569,0.124135962400202,6.02878991688486,6.18069585776839,6.26101235184447,6.3473404517827,6.51349167294904,8481,1.0010594367274,1,6.06211497107717,6.26101235184447,6.47363081975354,0.00407772534329887,0.00226526159470719,0.00168061716342738,0.00316900034206391,0.00468035807315736,0.000956555690632031,8801,3297
"loginit_pop[5]",4.25700776867295,0.00569483730681779,0.31530801894156,3.66647963111734,4.03559482610783,4.25473037755067,4.47544172896051,4.8754910965842,3017,1.00012141456122,1,3.74063717604136,4.25473037755067,4.78079241786087,0.0171443590897356,0.0105776715322876,0.00654927056243793,0.00532636521825713,0.0111243406225627,0.00402724126986695,2886,1670
"logmdm_c",5.91119722987236,0.00158075135097497,0.1370936765268,5.64768378840969,5.81885031936807,5.91301568353352,6.00381657609094,6.18525980762666,7430,1.00166123128944,1,5.68196482265421,5.91301568353352,6.13937853438029,0.00489555596163216,0.00260942235754902,0.00204653395171661,0.00333581333667343,0.00530529909637245,0.00111850125954811,7534,3500
"milt_add_var",0.397535659464872,0.000600057576135051,0.0433690728795471,0.320603358672018,0.367030909120241,0.394125918864578,0.424661045609711,0.490413187926408,5194,1.00052500722324,1,0.331443701913108,0.394125918864578,0.47268938452726,0.00135375035272772,0.000684765652291475,0.000737058191613155,0.00109500320817199,0.00204585649537578,0.000436846197478619,5525,3023
