"Years","Median Age 3 (in millions)","Lower 95th Age 3 (in millions)","Upper 95th Age 3 (in millions)","Median Pre-fishery biomass (in 1000s metric tons)","Lower 95th Biomass (in 1000s metric tons)","Upper 95th Biomass (in 1000s metric tons)","Catch (metric tons)","Median Exploitation rate","Lower 95th ER","Upper 95th ER","Probability B<20K"
1980,224.79,147.86,329.91,66.5524,54.36483,83.61223,7143.76,0.11,0.09,0.13,0
1981,115.23,76.16,174.19,68.1462,55.79983,85.51521,14140.11,0.21,0.17,0.25,0
1982,165.04,121.57,225.27,58.8591,46.23655,77.02172,8097.08,0.14,0.11,0.18,0
1983,490.16,389.54,624.43,78.8442,61.89102,102.81572,3069.28,0.04,0.03,0.05,0
1984,390.44,308.85,499.55,92.61225,73.57799,119.10468,6956.55,0.08,0.06,0.09,0
1985,111.93,83.26,152.77,105.6105,83.95905,136.16222,8172.3,0.08,0.06,0.1,0
1986,142.68,107.89,191.47,91.67015,73.31494,117.94245,11360.92,0.12,0.1,0.15,0
1987,1301.86,1066.19,1648.9,126.12,100.42395,161.339,6748.05,0.05,0.04,0.07,0
1988,139.34,106.03,189.2,141.7755,114.17925,181.53085,10039.84,0.07,0.06,0.09,0
1989,25,18.37,38.8,132.578,106.4783,170.8112,500.3,0,0,0,0
1990,27.51,15.34,48.72,112.768,91.17731,144.66402,10461.09,0.09,0.07,0.11,0
1991,673.89,511.71,933.24,105.9595,83.98378,138.1291,16510.43,0.16,0.12,0.2,0
1992,30.14,15.35,61.44,92.56785,70.6884,125.12438,20838.19,0.23,0.17,0.29,0
1993,71.69,42.3,115.59,46.68925,35.82303,61.55838,2631.78,0.06,0.04,0.07,0
1994,13.12,5.78,25.9,23.2582,17.39191,31.45045,0,0,0,0,0.15
1995,67.73,50.24,91.26,22.61795,17.7068,29.34083,0,0,0,0,0.17
1996,39.93,28.36,55.69,22.50765,18.05723,28.61654,511.94,0.02,0.02,0.03,0.15
1997,83.74,62.66,114.49,24.6636,19.83419,31.13936,4917.92,0.2,0.16,0.25,0.03
1998,66.66,47.2,95.28,19.83805,15.23969,26.09075,4150.79,0.21,0.16,0.27,0.52
1999,6.14,2.67,12.42,14.9562,10.70759,20.81133,50.16,0,0,0,0.96
2000,31.81,19.2,50.35,14.10015,10.3314,19.52152,0,0,0,0,0.98
2001,9.98,4.24,20.51,13.47105,9.86367,18.7002,0,0,0,0,0.99
2002,237,166.26,340.28,18.00235,13.1903,24.59764,0,0,0,0,0.75
2003,49.52,29.9,80.5,25.7989,18.75749,35.96165,0,0,0,0,0.05
2004,26.16,13.68,46.25,25.97455,18.88555,36.41224,0,0,0,0,0.05
2005,35.61,19.99,60.8,21.0609,15.23895,29.66548,0,0,0,0,0.38
2006,26.05,14.55,44.6,19.2376,13.676,27.48686,0,0,0,0,0.58
2007,133.86,91.59,197.39,22.3031,15.76754,32.08981,0,0,0,0,0.27
2008,108.65,73.66,160.97,26.587,19.31203,37.32218,0,0,0,0,0.04
2009,42.81,26.19,69.83,24.4584,17.85232,33.8366,0,0,0,0,0.11
2010,54.63,34.35,83.59,23.1516,16.97994,31.86952,0,0,0,0,0.18
2011,13.26,6.53,25.48,19.085,13.90243,26.43633,0,0,0,0,0.6
2012,40.03,25.43,62.3,16.8309,12.25737,23.18347,0,0,0,0,0.86
2013,12.32,5.88,22.71,13.7382,9.93263,19.23894,0,0,0,0,0.99
2014,6.27,2.69,12.87,10.6741,7.6713,14.89509,0,0,0,0,1
2015,16.62,9.52,27.98,7.37862,5.21454,10.48213,0,0,0,0,1
2016,18.45,10.76,31.47,5.86662,4.14419,8.31885,0,0,0,0,1
2017,38.46,23.79,61.44,5.44313,3.81586,7.89497,0,0,0,0,1
2018,18.3,9.12,34.63,6.10882,4.23875,8.92671,0,0,0,0,1
2019,224.42,146.02,346.63,12.8894,8.87031,19.06035,0,0,0,0,0.98
2020,44.37,23.63,84.69,17.4986,11.82247,26.28178,0,0,0,0,0.74
2021,33.56,14.28,75.12,21.16185,14.1173,32.23031,0,0,0,0,0.39
2022,59.17,22.59,146.3,24.51325,16.08295,38.10403,0,0,0,0,0.16
