Milt (mile-days) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",86.09,39.084,186.999
"1981",84.906,37.242,183.188
"1982",62.803,28.905,138.769
"1983",96.478,43.693,211.9
"1984",106.073,48.342,228.815
"1985",120.908,54.832,265.107
"1986",103.423,46.071,222.727
"1987",167.309,76.941,359.525
"1988",157.846,72.271,338.798
"1989",187.224,84.851,399.958
"1990",134.874,60.458,290.033
"1991",128.495,58.087,279.96
"1992",106.988,46.841,238.392
"1993",55.749,25.223,119.908
"1994",33.648,14.711,74.174
"1995",35.663,16.206,76.358
"1996",31.935,14.31,68.633
"1997",27.797,12.447,60.102
"1998",21.195,9.44,47.125
"1999",21.698,9.512,47.497
"2000",21.489,9.667,46.534
"2001",20.032,8.828,43.797
"2002",25.174,11.396,55.502
"2003",37.779,17.728,84.932
"2004",33.56,15.644,73.594
"2005",29.374,13.654,66.375
"2006",27.721,12.554,60.517
"2007",30.18,13.474,66.937
"2008",40.895,18.442,90.236
"2009",37.154,16.567,81.488
"2010",39.025,17.781,85.071
"2011",27.439,12.627,61.057
"2012",24.685,11.317,53.338
"2013",18.878,8.536,41.106
"2014",19.741,9.005,42.242
"2015",10.791,4.748,23.22
"2016",9.433,4.312,20.739
"2017",8.116,3.574,18.149
"2018",9.127,4.171,20.699
"2019",16.993,7.521,38.298
"2020",30.179,13.291,67.322
"2021",31.748,13.954,70.584
"2022",35.631,15.555,84.806

Eggs deposited (trillions) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1984",7.09,3.252,16.085
"1988",9.291,4.323,20.69
"1989",8.274,3.708,18.471
"1990",6.253,2.825,13.917
"1991",5.677,2.521,12.406
"1992",4.368,1.941,10.161
"1994",1.58,0.666,3.585
"1995",1.279,0.571,2.805
"1996",1.576,0.692,3.57
"1997",1.604,0.718,3.596

ADF&G acoustic biomass (thousands of tons) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1980",38211.495,18240.495,79785.842
"1981",39673.504,18770.073,80462.621
"1982",33946.718,15974.403,70048.597
"1983",44630.185,21041.984,92085.411
"1984",53071.312,25122.94,107482.307
"1985",60948.835,28260.622,124377.253
"1986",52399.659,24973.357,108878.348
"1987",71918.23,34216.582,147357.475
"1988",81534.78,38052.021,164470.678
"1989",75994.235,36740.267,157204.483
"1990",64796.328,30767.318,132148.815
