"Years","Median Age 3 (in millions)","Lower 95th Age 3 (in millions)","Upper 95th Age 3 (in millions)","Median Pre-fishery biomass (in 1000s metric tons)","Lower 95th Biomass (in 1000s metric tons)","Upper 95th Biomass (in 1000s metric tons)","Catch (metric tons)","Median Exploitation rate","Lower 95th ER","Upper 95th ER","Probability B<20K"
1980,146.67,92.55,218.87,88.04645,67.69112,127.10212,7143.76,0.08,0.06,0.11,0
1981,72.95,46.27,111.21,51.65405,43.53957,62.80362,14140.11,0.27,0.23,0.32,0
1982,101.74,72.67,141.57,44.4733,35.50895,56.74731,8097.08,0.18,0.14,0.23,0
1983,315.51,251.31,401.39,59.62195,47.43782,76.64996,3069.28,0.05,0.04,0.06,0
1984,262.52,208.79,334.09,72.461,58.39499,91.7912,6956.55,0.1,0.08,0.12,0
1985,78.92,57.74,108.32,85.5116,68.88936,108.3908,8172.3,0.1,0.08,0.12,0
1986,100.94,74.86,138.45,76.1726,61.1862,96.90507,11360.92,0.15,0.12,0.19,0
1987,951.78,762.75,1214.87,106.603,84.88775,136.7058,6748.05,0.06,0.05,0.08,0
1988,109.69,79.49,152.8,122.3555,97.28451,157.00035,10039.84,0.08,0.06,0.1,0
1989,22.06,15.29,37.26,121.298,95.36452,158.2309,500.3,0,0,0.01,0
1990,24.38,12.84,43.92,111.2665,87.7457,144.13128,10461.09,0.09,0.07,0.12,0
1991,583.92,423.82,828.86,110.745,85.94919,146.515,16510.43,0.15,0.11,0.19,0
1992,24.71,12,53.38,100.453,74.32203,138.09397,20838.19,0.21,0.15,0.28,0
1993,51.19,32.67,80.34,43.7761,33.50109,57.24242,2631.78,0.06,0.05,0.08,0
1994,9.57,4.62,18.13,17.2249,13.23329,22.89918,0,0,0,0,0.85
1995,64.92,37.49,99.14,20.11125,15.5371,26.52433,0,0,0,0,0.47
1996,31.07,22.24,43.25,20.40625,16.30909,26.02516,511.94,0.03,0.02,0.03,0.43
1997,64.36,47.15,87.87,22.77215,18.30958,28.81748,4917.92,0.22,0.17,0.27,0.13
1998,50.07,34.82,72.61,17.5289,13.34669,23.13396,4150.79,0.24,0.18,0.31,0.83
1999,4.48,1.77,9.73,13.0479,9.06648,18.37272,50.16,0,0,0.01,0.99
2000,24.16,14.62,38.39,12.4104,8.71723,17.33716,0,0,0,0,1
2001,7.54,3.19,15.67,12.29915,8.73188,17.13737,0,0,0,0,1
2002,189.53,129.08,282.74,17.20285,12.30168,23.82722,0,0,0,0,0.82
2003,36.19,21.52,58.65,23.2367,16.59137,32.54534,0,0,0,0,0.18
2004,18.69,9.51,34.87,24.50325,17.49399,34.55031,0,0,0,0,0.12
2005,25.62,14.05,43.91,17.8719,12.76781,25.32286,0,0,0,0,0.74
2006,21.18,10.98,37.57,16.70385,11.82951,23.83266,0,0,0,0,0.84
2007,104.01,69.65,157.81,19.8717,13.9338,28.48825,0,0,0,0,0.51
2008,85.56,56.71,129.86,26.7877,18.73051,38.51375,0,0,0,0,0.06
2009,31.73,18.71,52.78,22.291,15.8229,31.63835,0,0,0,0,0.27
2010,41.16,25.53,65.47,21.74495,15.51669,30.6466,0,0,0,0,0.32
2011,10.61,5.12,20.42,16.71695,11.94928,23.43889,0,0,0,0,0.85
2012,29.07,18.05,45.92,15.37625,11.07054,21.55225,0,0,0,0,0.94
2013,10.22,5.24,18.72,13.6488,9.81379,19.18489,0,0,0,0,0.99
2014,2.36,0.59,6.35,9.20006,6.55687,12.93318,0,0,0,0,1
2015,11.65,6.06,21.22,7.11826,5.0412,10.05299,0,0,0,0,1
2016,14.98,8.75,25.08,4.62286,3.2303,6.5945,0,0,0,0,1
2017,28.71,17,47.17,5.07529,3.55544,7.23366,0,0,0,0,1
2018,14.91,7.31,29.54,5.1938,3.54714,7.63754,0,0,0,0,1
2019,164.99,107.39,261.13,10.9362,7.48368,16.34068,0,0,0,0,1
2020,33,17.11,60.21,14.93385,10.16787,22.70272,0,0,0,0,0.91
2021,28.09,13.58,56.21,18.9789,12.8408,29.08899,0,0,0,0,0.6
2022,82.04,42.86,151.99,19.79085,13.18638,30.51625,0,0,0,0,0.51
2023,129.54,63.5,261.72,28.29115,18.59449,44.54145,0,0,0,0,0.06
2024,44.64,12.15,132.74,32.3203,20.56172,52.88783,0,0,0,0,0.02
