accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lp__
0.924241,0.511677,3,7,0,236.562,-171.363
0.742745,0.421406,3,7,0,206.113,-178.733
0.141059,0.130478,3,7,0,215.062,-178.599
0.986475,0.1306,5,31,0,215.275,-177.875
1,0.141543,5,31,0,212.941,-174.278
0.999199,0.159531,5,31,0,207.984,-166.377
0.781181,0.120728,5,31,0,200.72,-165.245
0.998447,0.140974,5,31,0,197.478,-162.077
0.946906,0.150676,5,31,0,202.992,-171.635
0.998512,0.181286,5,31,0,207.985,-172.172
0.866854,0.166327,4,15,0,199.027,-160.595
0.98936,0.19922,5,31,0,193.067,-153.905
0.966843,0.228588,4,15,0,180.675,-152.868
0.920086,0.237573,4,15,0,180.155,-157.228
0.961644,0.271182,4,15,0,182.864,-162.483
0.835592,0.234428,4,15,0,197.434,-166.896
0.932787,0.251643,4,15,0,205.303,-172.259
0.991059,0.307979,4,15,0,200.84,-172.106
0.936659,0.334108,4,15,0,205.471,-166.275
0.868705,0.311486,4,15,0,202.021,-165.01
0.83536,0.269616,4,15,0,201.049,-167.927
0.941643,0.296049,4,15,0,205.623,-176.357
1,0.370285,4,15,0,200.898,-162.269
0.702218,0.238498,4,15,0,203.099,-160.053
0.846447,0.212062,4,15,0,202.357,-163.402
0.937475,0.230902,4,15,0,197.607,-166.64
0.986087,0.279884,4,15,0,197.66,-166.57
0.854762,0.253737,4,15,0,204.462,-166.826
0.993768,0.312462,4,15,0,188.467,-154.896
0.842346,0.275806,4,15,0,189.819,-166.476
0.964123,0.317897,4,15,0,200.966,-170.838
0.98115,0.379893,4,15,0,204.531,-170.131
0.92102,0.398003,3,7,0,204.377,-163.079
0,0.0570351,4,9,1,198.243,-165.514
0.998362,0.0710672,6,63,0,200.904,-170.32
0.976175,0.0843114,6,63,0,210.437,-170.008
0.982329,0.101224,5,31,0,207.967,-157.814
0.913413,0.104828,5,31,0,194.141,-167.165
1,0.130375,5,31,0,191.786,-158.816
0.977419,0.154345,5,31,0,187.433,-164.48
0.955671,0.174334,5,31,0,202.238,-163.081
0.939744,0.190279,5,31,0,215.085,-174.324
0.965858,0.219131,5,31,0,205.59,-176.194
0.412133,0.0799881,4,15,0,216.478,-174.324
0.999833,0.0990618,6,63,0,206.265,-167.943
0.995857,0.12147,5,31,0,193.637,-161.057
0.9951,0.148463,5,31,0,187.724,-165.577
0.996062,0.181504,5,31,0,186.598,-159.721
0.96042,0.206068,5,31,0,184.753,-161.391
0.935536,0.222247,5,31,0,199.814,-162.884
1,0.272714,4,15,0,186.855,-163.001
0.963808,0.310699,4,15,0,203.556,-175.031
0.478963,0.134434,4,15,0,206.833,-173.956
0.898659,0.134827,5,31,0,210.334,-175.083
0.994105,0.163311,5,31,0,215.34,-173.959
0.84909,0.148432,5,31,0,208.941,-164.205
0.962788,0.168742,5,31,0,196.035,-162.726
0.985658,0.200377,5,31,0,193.705,-165.052
0.826582,0.174384,4,15,0,216.512,-180.403
0.999868,0.212521,5,31,0,210.488,-166.634
1,0.258639,4,15,0,198.781,-167.259
0.404854,0.100207,4,15,0,190.744,-159.807
0.973072,0.116001,5,31,0,195.864,-161.697
0.999105,0.140943,5,31,0,187.439,-162.524
0.979114,0.164612,5,31,0,197.317,-161.563
0.901983,0.165976,5,31,0,196.86,-166.359
