"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,53612.3519507582,60423.317255818,63476.3537227178,69902.4350146723,76048.1735451808,805.75641393435,922.330170222624,1012.28662161405,1101.5541085517,1194.02925958623,78.8695055281957,90.070882338792,102.292821375498,108.168794840097,115.843349371362,308.947064208932,1214.40070524267,2874.11895267769,14269.9936322025,44607.0056160471,3.72699570101472,12.81896639592,45.4574629421557,94.5332237938083,532.249237480965,0.515462165915935,2.03558640207221,4.66393896916337,19.8241394285996,79.213999415388
1981,53621.0845880465,60172.6764372961,63952.240133643,69519.2034849125,74336.6685827478,603.419526007754,748.371151006446,800.158823229842,877.801970350901,962.974130143137,75.3469407753337,86.150588186588,94.9324137211481,100.306071198144,106.262402597286,1182.24940743511,2914.74756994245,8241.17340014531,25129.6562157121,44853.7234899245,2.01874789012982,9.92497523437525,33.5127906139043,194.668472165927,637.51336463168,2.30750434775693,5.12975157227517,13.4697761469742,48.1699424751078,85.5579115643169
1982,42053.5867633869,50310.7413338433,53306.0767741531,59340.9923883393,64314.34587595,150.639996606219,181.167809198045,210.04048246141,232.338634097519,260.038233948899,54.7639301999579,63.940019782494,69.5949901895735,74.3115520944506,78.424631003436,2273.44708109723,4167.63638288316,9826.93646605666,27052.7565778771,48947.1791549643,1.04980127369003,12.4324173659016,30.6511134723818,102.875376471259,224.41804176203,3.14042194746139,6.00565655003686,13.3095774950672,40.8995998494331,77.6758567294601
1983,58119.2028327215,67079.4903998169,72942.7257165194,80486.9742829636,88569.6294225335,190.128951447138,255.765670025827,283.799751973014,308.63840069734,337.271178103816,89.5593601234597,98.9519212647043,108.056304508912,112.470910714166,118.113899199161,4006.62006387734,8585.71706926635,13865.7521938647,34972.4601498038,59327.9102964924,0.824777546609083,7.07501333491521,30.9623608563748,96.3871009319444,520.570020075557,6.13461401945747,12.1410662637596,19.5533038661878,52.1338062260153,96.9150820218575
1984,69078.6101532613,79237.3212712767,86668.3595549497,92870.1686784645,102099.223567995,2164.4235138353,2420.58906877956,2702.15073767154,2883.16591535718,3177.86989601925,103.171603376128,110.975344870091,120.698359199729,124.975994717327,130.653902103526,5394.05172480893,11657.2045681668,23137.2279796838,34426.006029864,54738.1303273155,2.18303832417378,14.3722508443792,37.3716425827032,136.500411872516,1107.58140509237,8.05931603425022,16.4744695754946,30.8259967725925,53.7861467505606,91.8323627149098
1985,75952.2409836704,89154.0757610499,97912.2470894361,104879.133322763,114938.575012843,219.555488756424,244.494801521938,255.703917173087,302.812817262064,343.286456071729,112.113118808228,126.125999774848,132.726410274441,138.624629057252,145.644547971813,8344.96642384445,14936.6147301458,25262.6212191317,33587.0002833537,57075.3759306651,2.88583534093493,9.82309837610711,36.1305324128431,132.794972067835,420.151567801577,12.3054599254024,21.1472832422596,37.3390994590071,49.0196909415947,88.7811350806378
1986,65453.5517816214,76415.5263733861,84221.1463957203,91149.5356129367,99961.9034573186,19.572959693312,26.7068520415799,32.3014448743795,40.4079452417922,54.8806269012983,89.1455191445448,106.756446215039,111.200134881331,116.168428616532,123.862891829608,9480.74534552029,15287.2374440865,23637.0553395971,33021.5303137848,52726.7480432744,0.333679015406425,8.22616147357786,23.1089128801478,73.3583041900827,326.134463692531,12.6941867124347,23.8405446685251,38.5519361965101,48.7912114546718,81.8769799033873
1987,88194.5296946797,107465.215199873,117714.212091719,127708.656355511,140824.041084563,13.2905584954839,27.7711726947744,39.5022063131455,49.7050848423157,72.5787005826379,161.054301075106,177.166059690687,189.341635311752,195.527883871398,207.487670799328,10797.8115310734,17612.2845392529,21927.9115779124,36061.2791577336,81400.4922498789,2.31282432205557,8.24542258064095,35.4784297157891,103.61179406035,602.423354964883,16.9821337855675,30.1472506795105,39.4610985490969,59.8439737533873,114.969875047597
1988,100359.561868314,119795.046549814,131684.636717148,143272.223578402,157352.275863461,984.720759359584,1206.4993289693,1367.87714349064,1537.55819153851,1642.43736486621,153.194057671319,165.220932257472,177.410955748869,185.368402561453,190.374248294939,11744.5673162136,17829.2988708102,24443.9253711388,32122.2701824654,86263.719049366,2.51021712676609,15.8152668800097,53.0568830195522,164.556081941624,1119.48468600293,17.6262205889753,26.2736514635665,33.6873384092979,48.1240789831859,110.115018252038
1989,90879.7279832731,109781.485520537,118912.961260044,132667.911438985,144773.906551758,13.2132158508653,29.7530636587281,39.8205325998242,52.3091436073324,75.0482566012067,178.792793347752,194.632504242049,202.471178428184,212.100419571333,224.560340836787,12385.2196285377,17699.1695292107,23591.425316859,34003.9826150535,87093.2486264768,0.673719810683582,5.4572616401367,28.3553260606383,71.7546440863706,287.473793771233,22.9180557526106,31.2881559815575,43.6543180745613,58.394136532218,146.266631472921
1990,78821.7948949614,93401.8628890087,101600.918779746,112467.561161021,122460.566533195,77.0228151525432,99.432623902428,114.36924130723,130.502929371755,168.48031627148,126.890283637406,136.273151038794,144.748786960901,151.371369457387,162.450007549392,10952.0453014654,15802.0883915542,23269.2910094619,31320.0020271829,88440.9863767545,1.6565497079922,5.89819670227037,19.4011702051025,75.9744890337256,456.239629119942,18.4611000393195,24.4632508899334,34.6685968211398,47.5452480929666,137.850826208858
1991,77447.2194367392,87087.5898103282,96507.3608680242,106991.088883611,116804.263463728,0.0397318474647188,0.131101373027681,1.7907570265682,7.49897220967974,20.7271529327319,114.966851378882,129.047860118424,138.22253262712,148.964489378149,162.108761101535,9870.08902603177,14914.0170307295,23447.141283235,42448.9170266467,83767.4927344084,0.726057616129171,3.39920343486438,9.52233136056692,26.417306903594,125.894208435133,18.1970003457431,25.7113348103671,39.1601384333084,72.9105484772938,154.337994327711
1992,65083.8618849162,72683.1100359736,84215.8036018873,93463.5498653935,101773.024328694,87.4224052725482,108.663773939521,121.772489638421,140.037525709025,161.542865648432,82.0963968314538,100.588268531967,111.004474306101,124.468697297826,139.250482143967,9474.04928855052,14541.2990681591,21624.6409171138,39027.9417679607,105972.486718862,1.57767314990807,13.86788074334,54.2589658639897,118.197546213244,588.26271648742,17.8072118174297,24.6901241349055,35.8466248277621,62.6957605999093,201.397848962647
1993,30624.4395144994,37142.1844180884,40183.9371229822,44913.5507773497,50375.0731378535,45.6844402386836,57.1625260049007,61.4033708697297,67.2901410661878,83.797833515665,46.7450171763962,53.3035649647242,58.5428316308875,63.2014696644519,67.6580675183273,10621.0787509996,13455.083890276,18496.2732287836,32923.4715621762,96643.2292055407,5.10825196692611,16.4252843138628,45.058525759839,172.520944483127,406.297192159161,14.3106331101983,20.1079612436504,28.4085995376245,47.4396109091576,161.538871656457
