"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,59236.3291813466,73443.4673952479,78411.059144772,83102.0555431028,95407.0645448197,1086.61900991558,1238.67126313657,1348.76080515662,1441.2201817589,1634.05069632108,55.0259567729634,63.3242418776913,68.4129613632825,77.1246179389035,86.0006453487703,2623.48025507807,6733.69592908418,9359.59040555093,17866.794230586,33391.7898008617,16.4100081807896,46.5795685209485,82.6764587090424,192.239980848901,772.239457911269,2.50570647109083,6.40350348752072,9.19273940330169,16.4114383674002,31.6971360867001
1981,60310.9344133268,73416.725964142,77313.5395993863,84174.9123493157,96361.3732139626,847.246593099153,967.256591457095,1079.09078572686,1183.8363707818,1349.90328513332,53.0417357836203,60.7783608439396,66.668989950866,73.4590954840845,84.6074755971635,9467.81206728547,13451.226732535,18755.3194063973,28894.3502902387,43541.4526643797,18.5297772062776,48.6962131871695,142.713258688283,310.206385776841,1628.1858504759,9.14293192934662,13.6261428986358,20.2505240215462,26.6364584080336,44.7866788706624
1982,51053.0931277345,63167.9036966735,67670.0943955558,75077.9550388024,87878.2479421945,197.978021273647,242.825285691621,270.27922499084,306.902119617289,352.268731019549,38.333822802067,45.4184283573656,50.2054637337079,54.2879769186467,65.0483838674619,10648.04369741,16434.3563597428,20614.7564223084,32003.0498630859,49970.5990831759,15.8260057272153,35.4093750961762,80.7785277841541,180.561402921095,544.406781694206,8.9496958664012,13.6923294968852,17.9107868625334,25.148886919313,42.4380329039165
1983,72470.0983963635,87395.5980919896,94565.8006886742,105138.40667884,122392.912102441,282.509755189613,321.828290395672,368.980733067885,404.110946679275,469.209696871301,62.897621720671,71.476866581468,78.0140759402566,84.4969062345117,99.6835286896178,12716.3253252247,22582.3195583019,28328.2128934128,42217.3921349092,71060.6632043521,7.54355273294059,37.5776139040685,92.569779307241,207.940993514802,1531.08255710799,11.381878717277,19.2588036506799,24.1412348712459,35.8383757777759,57.624819351544
1984,85679.5232733734,100366.597180396,110357.625841753,122158.739352879,137030.516582257,3054.07071200648,3387.09380152604,3643.41367187321,3897.18944241737,4249.73168276945,69.2766778814358,79.6507911995066,86.9132135987044,94.3829337780355,110.159496454009,18297.1887953719,26245.434441281,34687.7896534345,50876.0508181727,77356.2123533629,15.971823068653,72.6303199766701,186.99459319964,324.446224983714,608.081415403435,16.8801297764546,21.7877855769214,28.840703505793,41.7111760292304,63.739058947128
1985,95855.7149416787,112528.102347798,123339.925091366,137729.536805012,158624.424989681,230.88589521585,289.410223367176,317.554611804412,364.654173899078,444.130726852307,76.27611981567,88.3735494254718,95.914424519415,104.926106756317,122.027703081638,30283.7009300607,37089.1263447035,44836.7934462443,64304.6308518254,96818.3779926713,11.0067490829914,42.2875812187994,89.9912954185882,295.921950539894,882.198193468983,24.2688179729647,29.3733311323805,37.2605193991223,54.7795977735038,85.8512752129397
1986,84136.5641774059,97368.1564507717,107398.690705017,118957.459025237,140768.795748339,0.0888935052394128,2.87669080210126,6.80991316242317,14.4635782571345,38.9943929095618,64.8051382032685,74.5701741898167,83.7025603190952,90.5272857355637,104.639895629008,29198.2637674521,38199.0431715498,47684.6550088163,72440.9983464602,112524.393979499,6.78792241811655,18.1931288057406,46.6159716630893,96.8524752805999,362.066704392832,24.0521100134525,33.7374417323339,43.1035063278648,57.9504597810694,92.4671693986342
1987,123230.345366571,145857.110969382,158352.104546351,173622.830120942,199986.568119489,0.180362470661533,5.98171782867529,18.4379778411191,37.0330515724943,57.1065341346126,115.910639341667,129.083009915981,142.572996596345,155.571054840907,182.308732893979,27344.1304311419,37661.906359568,47547.6663906299,67344.9446165824,118211.022221535,3.15244190475077,15.2604437289111,27.1754596873018,48.8315120262094,143.241681323014,24.3893335893985,35.0732435024552,47.5720057679417,61.345446949276,105.253421241051
1988,128995.805229614,154642.512679532,168197.009613826,185769.97002811,206080.303234258,1509.64987905575,1682.13086892804,1754.13457243172,1896.44961378079,2296.36082889884,107.027596807279,116.918291756739,130.072979482741,140.921539664468,154.558356512621,31769.6418752562,44607.797296203,56128.9273811754,70788.9381971936,114877.874060423,20.2258245807922,68.8788881277418,124.885020309288,245.870068935138,716.221554754945,23.6210273455088,36.0686056390548,47.1524150952756,56.4589744556424,87.4710979455449
1989,121998.495373637,141813.69183456,156278.7455721,170172.331901665,184582.906645869,0.840004934728441,10.3425447807241,25.2869982117437,47.6449774859596,91.2560662552539,122.688408941017,133.982234905434,148.885167311392,163.552437741973,180.752650768284,34059.2396045544,48097.9008745265,61268.5059799785,76111.9607127527,114070.908263582,8.14416224166678,22.7727732928278,65.034317611651,188.610215546923,512.395313773838,30.8367329179849,47.4734870445842,57.4170882416515,70.9572648239661,111.137724972795
