"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,56916.1754166737,63394.9674672949,67320.8408727356,72251.5621571134,81616.7686848554,813.575421885086,962.946798633109,1025.35483353312,1059.69516022656,1251.17984372494,74.0308966427044,88.2961578980663,97.6659855970907,104.091697949291,117.26416164418,2133.25370344307,4105.39950081665,5733.05065766977,7230.77915500814,15811.2823809234,11.4087101537425,44.6316613280298,64.9809078160207,114.688580985004,269.458281339711,3.38543943374495,6.2043555789358,8.94088098873653,11.8400874127222,21.024362892793
1981,57219.4895199951,65148.2154874072,68415.4971251699,73519.0959726861,81823.8347918292,683.630339502895,754.911987115898,808.896042086203,862.946965248568,964.353217647516,71.8518609975972,86.3372109218001,93.9574080115194,101.698990804735,112.406244942922,4128.82422552232,5391.82850333547,8420.38376094627,11478.2841262558,17259.5850772141,24.2730697535432,48.7937860187353,82.3218706966702,132.842296303885,368.231227004132,6.27938383970928,9.18169905910909,13.2151936647355,18.3360196432592,32.6834729674356
1982,47696.6134885114,55328.8768072404,58291.0683469219,64381.5268301042,72838.5086043866,163.417118984713,208.633176036375,225.140541580172,255.569535762704,287.571896307201,52.9734257873995,64.5842120415002,69.8133037983099,75.9804620669249,83.4663501185762,5648.83855188642,7249.71186677199,9531.47584269783,12848.4419065215,20423.4050671128,16.1437203244986,38.3420013170395,74.1404790231998,134.509208066768,361.608482567908,6.88176212117464,9.92460161339792,11.8464136950599,17.0682670280197,28.7415939114371
1983,64859.7007281761,73827.6905960686,77430.9281514539,85143.201352944,97033.1816406393,221.416546557866,267.057093525366,294.122957289664,317.983095777509,358.601526914823,83.4209532596695,97.3942199259234,103.656740050868,114.06346449646,122.485390265715,7187.57247181733,11108.478685275,13482.6496350556,17968.2550885181,25896.7119885517,12.7619913876618,40.2157819966617,70.8743198507379,169.475366278248,268.371936760428,9.86213633375227,14.7334132840537,19.7181527310425,24.3759641533191,33.5533704419488
1984,79110.4848048474,86310.738365652,90413.8392686833,98900.824976977,111144.723031497,2212.16233807774,2439.94187417903,2661.34096259659,2823.19997832008,3262.39734522568,92.6677394318952,107.544629295571,115.876258296031,124.158039259593,134.522976384976,8672.3990371166,11994.0121342363,15447.9145890701,19276.5901969126,25697.8809874946,28.3650845346951,61.7000152097153,124.858327383917,196.540482560771,372.373909734994,10.2100670150537,16.9234738673766,20.8621258233682,25.4208900425915,33.2840367533599
1985,87466.0409520668,97728.9584001082,102061.821138966,113491.454419534,124082.915927497,221.961719271907,256.153849078652,279.87071101282,317.79360058409,367.020465018825,104.225530585208,123.088261314548,128.484287453573,139.659165765843,155.3234297668,11053.0985592226,15642.9619138684,18423.0770922599,23115.8323592641,33951.1297825625,17.6431402138603,30.5558991501819,50.6783613309953,99.3870654656513,202.294556318982,13.2463875148916,22.0466979948194,25.7660683676281,28.4146346631785,41.4703923761224
1986,75474.6224177712,83462.4350939915,88199.6451108781,96137.3477164533,106766.029559458,38.2063949260907,45.8859336780538,50.8689779521259,55.8234695787693,71.4063154961557,87.2605459962689,104.468896195172,108.237630314411,117.341729534754,134.609113515621,11923.0722138728,15589.5201387638,18856.6268882503,22511.4194017013,34496.6877746831,7.45938521845822,24.0735471450467,40.0276236156236,86.0243164099454,166.18080886816,16.0368807804963,22.9107031801503,25.8721445021412,32.4129852135679,48.3895874681873
1987,104633.219402248,112517.767992398,119589.470223794,132148.269173207,149452.65978031,30.05589448026,42.8620108716564,56.0610474893846,69.7833699463933,96.3581018128807,140.56553797324,167.543174114086,177.326125314271,186.575042893684,207.921349386319,12034.2627890426,16551.7942958907,19852.2354704762,23202.0697918096,38899.6431264363,12.9602503364949,32.5950007708045,57.0538617527253,89.9517492590167,223.125342300199,20.0621810581812,24.6131589417352,29.4596927799937,37.1211161946665,54.3354625215717
1988,115927.968695767,127934.313068886,137292.187160343,148925.030840656,167808.920842636,1031.810182776,1255.01004902926,1372.88173332988,1556.19753455107,1769.26980173946,139.706563045627,156.804464103104,167.205546065718,181.447941614655,196.587375706068,11428.2084930865,16084.3999373937,18791.7804359041,23238.0928001566,36780.4133654757,24.568577204919,59.1783285858073,114.058786699991,216.392282712654,347.506041865554,15.9899831066073,21.3901214205365,24.4506575092695,30.5915509505892,44.4189889431959
1989,104859.736082135,117835.911082951,127778.481725456,139883.212928794,156746.820087496,30.1220803085694,52.1157425168254,64.3622302708292,79.3965476722237,97.0586012471847,160.682508810237,182.803061176991,195.30906152366,215.268435474207,229.733323069151,12012.51249039,15555.3001184469,18545.5589229018,22823.5341930222,34708.6863784852,7.92654192722929,34.8348156939301,50.2318361413695,83.0443517299697,192.783222612598,19.0945994060196,24.8657361568115,29.3659658600463,35.171459369602,49.856597284069
1990,89647.3514665605,99394.7933459072,108705.44195709,117040.213776205,132384.955266348,84.2518146676279,118.588149666172,149.136835236822,187.249809626204,220.531965541518,113.748564081327,129.684731406692,139.77878267833,155.063498049277,167.208427674671,10631.9536657202,14218.9486601906,17410.6911879967,21999.4585952254,29741.9514144544,16.282860031979,39.1520445868208,60.114478425877,120.44823262144,293.18348731993,14.1710128148983,20.7685783673971,25.2192201333627,31.4646179018674,40.4476632729835
1991,83020.0502781353,91677.6129237988,102139.231756153,110674.63835356,127162.476397687,9.11067116735771,19.3742490541516,27.3640958091583,31.805979498525,51.521246035922,102.056941659993,124.643391755791,133.859054251904,146.186059759537,165.328606595705,11136.2704890931,15000.2041364448,18217.2492379234,22330.6334504601,25786.2825893722,8.18340703115503,31.4676958199982,40.0420511904421,75.6229291925048,147.063969143645,17.9204601009199,22.4991273148741,28.2803119186657,31.6135407037243,43.2507297015631
