"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,61470.7873813775,65170.2264477365,71779.1033009919,77440.6629660489,84073.6720818428,946.416635134741,1031.50124822281,1086.11031608655,1231.18705392869,1308.92562909954,75.8825224003431,88.3219132761113,95.7831245191921,106.315892487249,119.816895458984,1731.94350335756,4084.65442053385,5700.41258812256,9301.20173114071,14134.3944423373,24.0626683093685,40.537929444188,76.9629639903034,216.907277332373,486.596276192776,2.35363779587451,6.34375656211092,8.80467883899658,13.8842688910225,23.1619836904721
1981,61574.8420144828,67632.9471290787,73177.6323733049,78980.7239936779,86963.9890513895,736.098459204547,807.236588249808,863.48016454835,943.463194553666,1040.1306375794,73.2256368881337,88.5899927813988,94.7885941821383,102.10328032906,115.097484451129,3522.22108276972,6391.36001907648,8202.95273076609,12120.3421155254,20236.3491470394,19.3588063731559,38.5863192582586,82.126913236415,154.578564707655,335.18352427535,4.77394279143426,10.4751381902122,12.6336007567402,19.9842260190091,31.636849889155
1982,50369.8186855447,57531.4199696275,62616.634877601,70058.2309244425,78675.0439877401,175.410916700471,214.095882784183,245.507229882199,271.504492583352,304.043909697664,54.211900215502,66.511826306367,72.5232116396261,76.5704750736775,84.5856259104546,5361.54659505547,7635.64633371157,10059.1082384328,13071.536657117,20699.555596604,15.7764930005961,33.3145798655041,63.6005214427848,121.774462363476,348.674077629055,6.00457048012533,10.2070973902738,12.5369074838875,17.2615713928588,27.9188246357208
1983,67217.8317097184,78502.16633875,86998.9186726649,95027.8794653951,106969.401360166,230.967686591112,264.616378191005,302.404590939927,334.494456046123,365.139589706149,86.2646640911913,100.912809137363,110.242053762188,118.507254760473,126.441422387694,8827.27420425374,11612.9401774887,14668.0200383206,20332.06189794,28504.6762660079,13.9344066280168,30.1787126567166,77.983469074564,125.39075941155,257.869548259596,10.4283613356855,15.098154681062,19.9632821597725,26.3936037127947,35.769589962993
1984,80665.8747560511,90695.1076498682,101895.063516702,112403.781997492,122068.929977954,2170.10631904114,2603.32780940092,2774.02191820287,2924.69133336949,3125.23685391215,96.6412303536204,111.119913751377,120.476551790712,129.063687842254,144.145949425833,9811.9534473897,12569.0650373272,16747.8494990097,22157.1015395551,32520.7591200169,28.5307157423367,58.3161634656318,96.5475942816155,175.618818297793,436.538434041881,10.9237547823616,16.8837857822045,21.7301944835742,28.9761111303811,41.7134227223643
1985,92427.4887692299,101637.212882593,113115.297555063,124767.953351596,133898.737718292,236.48413444195,263.511425945245,283.762636306772,321.697303930578,363.304265425525,108.355710143435,125.526453852919,134.919362172303,145.831290846807,163.712300216252,10930.388257485,14825.3290875582,20088.6293190292,27709.7494934684,42532.2792995027,16.2164822479647,38.0331156938149,67.7548783891921,121.413551768943,362.263354576417,13.5226873215703,18.5448035714028,26.8311180304644,34.003035434738,51.5015802895092
1986,81423.4585998819,86622.1576275085,98692.1382656884,106282.491282086,113580.472558316,37.5135404252009,41.8168404787579,46.9120707065929,56.9655155807161,71.8594233550706,91.8278682592163,106.377445702538,113.747862194876,123.756248661124,135.881391734946,10648.4664779038,15969.3178598169,20884.0583502213,27905.2540550262,42909.3965747217,10.8547207208623,50.257296502303,74.7992450184681,106.550502231563,263.482351404177,14.9486817525959,19.8390966346112,28.2219405772425,33.7827473392443,54.5513526720516
1987,110250.525654221,120372.259855444,134595.747860839,140783.689192853,153201.093358571,24.746572877489,43.6441420469149,50.7979075283068,58.7723329244386,67.9921256328548,150.454610296785,169.587628682461,184.876470764662,198.065377843316,214.595015968098,12776.9706985653,17386.4441185468,21523.9153573315,28389.2059030321,39552.9584819443,9.18116337168889,22.1682132269652,43.9117573947803,56.5266773109533,106.690761509512,19.0686886624926,24.6379739841144,31.9019465439292,36.8140921050023,55.6558724706215
1988,120323.053945543,135556.348551695,146716.454765915,156666.482137562,168420.91686416,1058.82902577294,1244.78831935738,1393.3426227513,1517.11204919432,1847.36113622488,138.891809339274,156.873954122334,170.301123092149,179.511036853695,196.849179690751,13553.9043526576,18738.70698428,21550.3470444209,26889.841462581,35575.8802013442,19.7362761339162,67.4769283071995,116.925521779155,162.378077729281,257.247682118265,17.2091015484222,22.4175723159853,26.1040747122144,32.5721295444012,43.5595853044004
1989,107860.844169515,124846.098088753,134718.915895574,144135.514328857,156496.477564708,28.6262272286499,45.3277845515977,57.5637997635545,78.2078740246582,113.348758977144,157.799842251112,181.951549996678,196.19080738079,209.242164293654,229.395696934284,14633.8744175754,20064.6091816661,22832.5159421008,28090.7652632053,34264.7717562984,6.77459151531384,27.8159885572526,54.1987080665052,119.700403133681,224.428197576831,20.9633123904634,27.7512587708022,33.1040239296366,41.1794860713857,53.8975607525515
