"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,31063.8592724931,41034.1340277935,44482.1294696841,52831.5151183347,61846.346964879,1068.67557480254,1275.36253700748,1350.62359464068,1499.24196022924,1627.63288220121,19.9574912287764,24.4911175448623,29.258662863644,35.2276677177324,40.0287188276406,854.473534695106,4039.47141798462,18171.1861974956,36992.3867717696,130829.7353892,3.4029231906681,23.9712455905813,92.9510563360163,298.892168490871,2479.23033868882,0.648237496140919,3.22569030631882,12.8367349377224,26.7074843363844,95.6855387396853
1981,29351.4989312183,38096.464179385,43852.7287958877,50507.1280433057,67044.3163744518,802.282987479522,913.175070333259,978.954925030172,1071.8771380533,1215.94095406488,12.0780932374959,19.6905475377649,25.0314408602448,28.784911289614,41.6738449803876,8838.89839080453,16306.7334168584,31774.8682498489,69055.7226090359,169692.32326587,2.49103338710029,21.7155337232763,107.066523672408,434.021455691484,2829.27610835468,6.22608470185708,13.183124622984,26.077365321358,51.409520715474,121.187818403499
1982,16427.990511735,22756.703423896,30874.9200564322,41472.1043055067,74124.7822170392,7.03800686711421,44.9797021712046,91.9502609030433,134.096801741511,189.45885981025,4.99359603346826,11.5637772912587,14.7016267539012,19.4533278619287,39.7929687945713,15533.0914379701,20981.4626105468,36224.5267349253,67263.6221263664,176749.178453618,1.63405183334555,23.9708509718041,79.4800574986862,255.202854488075,882.271998151568,8.4373543457564,13.5253807578319,22.5785677335167,42.984495644011,106.696909022384
1983,26326.2072925918,37027.7428964811,48312.7403314102,59292.8499528495,121686.997191152,117.930177080082,172.335574608386,211.594950083933,249.083538167409,327.910160809478,14.2217995655835,23.6228372284042,29.4828742529523,38.8294950819516,67.0952896464765,26311.1469867362,38187.177786805,51711.9687721615,86219.8988563711,219664.166450936,4.13977897460386,15.9164200476681,71.7138605936241,202.866919705027,827.16891133725,14.7227042069872,23.9996010378229,34.6502137650863,61.34583041575,125.081713680981
1984,40959.0716645906,57164.0874968853,66227.9169977025,86886.7719910894,175845.667176696,3420.47492182578,3579.69393016829,3613.09545335065,3631.63960157521,3638.52173845355,21.8153629418523,31.9457891911897,38.7505692394144,50.0927269329741,96.9311936023892,35315.4697568816,53840.0052106277,63265.2711656921,96928.192002322,245931.148406435,3.88331551987951,33.8351139652066,127.895746166643,920.312969575089,5999.5294697111,20.8782834937622,31.0549208295851,42.0740099244715,61.61452383894,139.577057773272
1985,51617.0949716997,67545.5854518776,76957.2561680757,102719.661510707,204063.189282851,91.8536440645953,147.93326534927,182.64535788286,225.37230341169,321.382342265032,26.0813819029432,37.8221914973017,44.6559021395209,58.7974099449443,113.284553006517,50229.7397034466,63798.1114829417,77292.3953582884,116240.766738441,260596.069858086,2.86766228714349,25.8959476033393,91.1605217975913,244.221183816899,874.927246379762,27.601157085318,39.9924934157151,50.3198105140773,71.779663129159,153.142806887345
1986,45306.5018621935,55543.935620326,67273.3197815051,85336.7708527611,183425.145609517,0.477196679973331,0.652504062057732,2.28163422729903,4.68434806753719,16.5733983144295,20.799621893195,29.395532857202,39.5957163722094,48.4615479621828,107.170765571893,47147.3565224584,59890.4915653877,72492.4015676071,96313.7889546207,229569.775805111,0.340455275243976,3.08743004840363,16.9451695033165,71.8865459919082,588.761319589969,26.8152340083837,38.7951671985424,51.5731052130172,63.6755206604027,141.796715955361
1987,74563.5757781645,88706.0552103162,100223.910498081,119575.898681602,197720.687746533,0.590935495920226,1.24418155185688,3.1835931579033,8.47256104942605,23.5734678337873,46.7690581659023,59.4811573333784,68.7686519470445,81.201444323928,131.61375755937,65863.739556652,79874.8682733427,95129.2232152088,119355.101788455,218757.822686226,1.57558583802973,7.86273391749504,27.2199103477341,119.468231240447,485.908423311963,42.1556178967055,57.9499677168525,68.1055250082162,85.6304022355747,155.289122839827
1988,89975.7083525808,102008.500975844,115631.336875667,137262.50757324,201631.635208465,2369.01973688152,2613.27201922451,2767.70576180348,2916.77470781085,3232.54350821442,47.8974395076748,57.6651465694976,66.7871118038242,79.8186891300241,112.822491271493,79263.8100697865,90780.8189014134,102243.746787078,131510.732713919,226081.774062318,7.11376371539501,46.4660792951232,118.642018738013,295.266862513938,4104.13782955269,43.1924410341241,55.2630120643942,65.2083387060797,81.8021626153839,121.458638949677
1989,85805.014514972,94339.8995658417,106647.658765614,126056.669611683,191841.173712994,0.489122148666872,0.906679626361597,2.26298852433543,8.49795292894945,34.5229939446075,55.2449018885401,67.3741775197953,80.2228420094169,93.2425160229099,128.900219344163,81369.8461036838,91961.1106648504,108731.059771763,133229.670075605,221615.520361905,0.476994679924454,3.05653780684115,15.5300968690028,137.147540413961,1267.36076591322,52.3744027251661,64.5266077551711,78.6584770497658,97.3218098636515,139.129046280586
1990,71665.9242809881,80462.2301718647,92790.4552371761,105419.588733932,151156.928552321,81.8669392701452,161.548758247199,206.737392535554,244.249302870977,302.369287270861,36.7507952499576,45.6079412406718,55.5672709254813,66.286567318275,93.4821534213961,67419.1185678414,78643.5929244101,92941.1858074007,110525.851953062,168344.859718812,1.16900133758047,31.3245136381511,93.3279809325843,389.616968480689,1897.32001557416,39.7841978983052,50.659652891808,60.7904266287285,74.1761938554822,111.843951487368
1991,73367.8592954037,86444.0967020087,95929.2504192196,107014.504541759,156425.612488431,0.485699138105543,0.839448317911185,2.01671238752906,6.73889993916402,15.0981440384298,38.1607113671488,51.4791131585233,59.4757076377243,69.1105314578631,105.108666271866,65795.7230814101,77768.5460118814,90825.7089375743,104656.614468686,169919.230572682,0.584275251248163,4.15339126719969,21.1527466671835,86.086300750466,1149.44510596171,41.7565727449331,54.2426443150793,65.6601829118447,75.9963292573085,129.499605258949
1992,69490.3900909644,83174.9835258166,91947.4461765973,105508.679153312,154028.249557235,159.406387462505,250.80024833971,271.326521200094,326.223587467236,397.988285065226,36.410503163726,48.1891896559802,56.5950310956605,63.6830137539911,107.740566646975,68926.6477152285,81432.8340361128,89126.4275913411,115708.773257944,161836.379955718,1.73644962191904,15.7978560987188,77.0993662196716,309.760259803391,2186.01911078623,46.1280035263274,59.1173651282395,68.6112196135864,85.7486753390929,126.268817402856
1993,39064.3030813058,48082.1626290037,57750.7902488078,70625.5957969625,100263.626919292,2.7954385841938,25.0312447785533,44.4352659165445,79.2742731140011,126.638507232255,21.4578856270048,31.0972986793498,37.504509810755,46.4247000079131,63.1998998342563,59486.9352509303,74247.263893741,85069.9269716255,110060.042164112,162489.967852122,2.25227310784464,10.7688654030997,49.1741070589718,186.536929242583,1296.79929870382,34.9905583554566,47.6399586271901,57.5469066883531,72.9989707197923,101.556521842879
1994,27287.0828565363,34619.3834943434,41991.920267344,49824.2266694204,82438.3659983375,427.363173045834,527.631768499088,586.124006568257,631.701790105452,725.097630706133,16.992214102976,26.1575241820583,31.1545729770581,39.5127100174939,57.7560673218136,39870.4012438207,53746.4678468148,67244.7586408662,87588.8636277862,135235.239226709,1.41508078122508,23.1520914387542,94.7290011870333,557.175832568574,2826.00325695987,27.3896361754177,39.4272416142007,48.1852203611231,67.1898338208499,100.220598750919
1995,28538.1045074127,35200.6404417659,45260.4317537872,61166.2639292473,82341.3444262537,392.571415082115,484.527770548679,540.032579976585,599.604119348235,695.839281604534,19.8041083372132,29.764740653978,35.7733842392001,47.2610790770072,68.358099702046,36939.1802392909,49806.6849386587,63850.5654016399,89521.1274497233,130466.067038675,1.58337930083736,18.1100008462422,88.4842540566472,335.745950076329,3762.77677387772,25.6431306541442,41.1573620136017,50.1514771836242,71.8984122129032,104.279974190159
