"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,58615.0877719235,63045.8576914196,67232.9149779439,72199.9967764766,80381.3147373633,851.391492953806,964.671213289117,1059.69157134056,1147.90961923204,1315.66385003148,74.1764985924131,85.3443514949404,88.9760151912761,99.9771595003764,112.226518540598,1964.70069032098,4505.32732804733,6426.02166399025,10341.1533421727,14741.6517483492,26.2362586762054,46.4555274627417,87.7153272546953,225.583725255243,488.551519057133,2.83174248533708,6.73301321139864,9.77516247015675,15.2258221320996,21.6867678590371
1981,58787.9221251312,64270.4084741967,70454.1488619093,73509.1608905549,83257.9584159606,667.918406217254,772.829592824677,840.6051539272,901.760501495433,1003.97711721496,72.5884692625479,82.0871780521054,88.8173455014555,97.7289769710969,106.888802647278,3574.97856457435,6826.00491890088,8947.35818447327,13345.0744613592,21260.0268635212,23.2149295461741,41.8280703366,86.5724009121968,161.137405118736,359.499597118275,5.41809591648571,10.0380446545646,15.0727854453723,20.5079830509202,37.584923501763
1982,49774.8763421625,54970.0599089343,60910.1346597224,64162.8759702792,74743.9127174687,177.637135292152,217.186348461085,242.09370591659,261.504768251261,305.205523391833,54.8069862309186,61.5086832297758,66.4742797955493,72.4189721570431,80.6300773978692,5530.78051640574,8287.00929116592,10829.0481449615,13835.8218434385,21817.7438819322,17.091919687579,37.3328816565958,70.445491792941,135.258117803252,353.629581147737,6.5293747209374,10.3721666591614,13.6991978686686,18.0952416881691,31.6648360936196
1983,67048.1498875541,74232.48886472,82173.2067415177,87862.3770496204,98968.8807582212,237.99447865851,270.107291576375,302.267086495792,329.652531811803,366.068141165468,85.4344244900831,95.4093221145214,101.462867275486,110.07956612922,122.673481582148,9308.70921219902,12418.1529512199,15699.5823307196,21743.1950341409,29719.8339186916,17.5433194606437,33.2534749004057,79.1763280422703,140.854164423482,280.477484945116,11.3544796136395,15.7870119822271,20.2219837093525,29.4551984631719,42.0756125688137
1984,80134.6890823661,87028.1123018899,95767.4229777489,102394.506726248,114119.317935767,2354.53258666567,2591.75175170395,2853.20324951455,3032.36655828607,3199.32546120581,94.5584510510633,105.744491914771,112.805347891032,120.599545931861,132.299155248262,10229.8879779791,13271.8854901886,17928.8204643592,22972.0111068856,34769.9231183113,33.8974679574368,65.3880377004181,106.970480891896,196.691588360861,406.689973175458,11.159374539631,16.4815320391919,22.3939496468232,33.0988642455751,42.9739743719935
1985,90360.248573071,99804.2031512882,108682.811060516,116510.864546122,129929.798081926,220.448030890905,262.988629929167,294.670092102149,327.021728403133,364.885927287634,108.820115043918,118.515705196642,127.65951562805,136.820991374478,149.95430470959,11061.9091532396,15474.0565002178,20909.7416366664,29226.3820653488,44915.1627414809,17.39381043855,46.5518822054476,75.9035257316482,130.603594135736,383.664907002019,12.9335173207547,17.7553498232903,26.8369717454145,39.1688235001594,56.1836196029544
1986,78516.580411663,87436.0691831755,92959.8474107099,99432.8843789,112568.16231882,41.2807999907334,47.2865656529469,50.5127597455107,58.6022600044084,71.3642446353248,93.5696591198238,101.17135679826,108.588576964341,116.73794131674,129.334727253221,11026.1219581947,17433.5508736495,21701.2059947067,28029.9281844044,43689.929305079,13.7008062718892,57.2089069662446,83.634105549314,116.320595401855,291.105723392816,13.1756446427953,21.9449237180235,28.5509850248987,41.0064150700125,59.0843122952054
1987,107587.866735191,119168.958205599,130207.489084411,139324.392620882,151439.137709388,32.974539611665,50.3828125667821,62.9751406172555,72.2234754235872,86.5514144138069,152.04173358406,165.88708661461,177.608177122914,186.983151293169,207.410341664484,14004.030748525,18506.8363118544,22332.7013775345,27620.739064931,40672.1922167928,12.6905268556637,26.2634509528334,51.9656489268631,65.9817211252339,122.203704022717,18.0567979927377,26.2308094711349,33.5050247962688,41.7112536008844,57.6327057781113
1988,121269.625016047,134068.728543948,145577.341404235,156013.452458918,169427.33313871,1214.49044402604,1364.76511628494,1470.62723117698,1581.98108834281,1730.87681832256,139.649249457607,156.51745159613,171.090551557516,178.73403057906,194.043754071215,13804.1366104196,18891.5490298139,22626.2024083751,27637.0308952666,36409.3298174878,21.2297520017961,73.9177535916245,120.882309717312,181.544188634329,284.790646330595,16.6364201664649,22.2430408223872,28.3677063627768,36.0513644524061,45.0671709200431
1989,111232.172137527,125400.881738236,135316.325264398,145564.473326116,155058.501398041,31.9534621123439,54.3633249328446,61.5894870515769,84.4855781947015,111.497230305765,160.933738136667,182.923342942192,198.880968238314,211.101222689241,228.537817142615,14691.5569024855,19678.3013400541,23317.5729869655,28542.4788008685,36593.1620719325,7.89902427980231,32.8629021992321,60.0139388094764,126.399402310485,234.310765597982,21.2504928642505,27.9036519486023,34.3740336837806,41.4991690813262,55.3145702763978
1990,94347.435090164,105453.549342376,115984.094052208,123746.424007328,130406.322444205,87.4835324158745,120.907352850003,137.214075451954,162.777095819242,197.645466420163,112.702636436245,130.007934067813,143.912107634439,153.848787765636,164.362184281263,12491.4157464729,17254.6184099994,21209.088068011,25940.0766009545,32466.3149632619,19.0391089379885,38.804294795129,64.8523103171367,123.291419457201,268.360330474409,17.6948771208995,22.8599256845476,28.7069439327178,35.145455674493,47.5256991060648
1991,86709.3079304418,100849.857254153,109558.337432187,116397.85608764,122733.519644566,12.8865745526082,19.6986958117542,23.8357730950196,31.0618701272541,38.0696769452811,108.361916662635,124.724802000427,138.863308072436,148.181894798177,159.823780918495,12172.0126354985,16574.9542004076,20727.5118999196,23505.2541819887,32295.7123296071,11.2729316886656,25.1215999555608,44.5953518905277,78.3990611609298,189.164129687719,15.9078946752469,24.4077866104914,28.436460875251,33.4619780360363,49.2953787479809
1992,73810.6966911529,87854.6677659077,96734.1015152592,102170.49313474,109337.575190794,105.917463537594,128.205434918678,141.729731276635,162.603528196729,180.40496047312,86.7312343519219,104.820649709987,116.616557529356,126.185235374269,137.96442906411,11387.9338171845,15270.416130892,18787.1306286398,21546.4879307527,29337.5216933116,17.9044286423533,43.2797025061968,65.7564971615982,139.713922313851,335.066268049808,15.5582590680077,22.793838470834,27.3043056351092,31.4305867749104,44.0189208781788
1993,35888.2246552247,44467.0023971691,48292.1745651116,51181.4799044632,56146.9756867247,60.5961548766956,76.9005637182715,88.4145789495807,96.5992659352554,110.018934194154,47.705686907118,56.0977891836602,58.647667791558,62.6643041893309,67.6928811531341,10339.3924203237,13430.1538195477,17500.3824689269,21087.9896017831,27382.7484842926,10.991107657521,34.3391258266973,64.7480935009103,110.128928070486,281.443360930141,11.7784095581875,17.94269257244,23.8688140525068,26.9909052382363,38.4577289410219
1994,17383.2003982155,20986.6481219943,23320.9385099568,25141.5950987552,28203.6891581906,123.483933541638,164.395952264904,182.825110001099,207.461202675635,230.866965435694,27.6767668775262,30.843918388023,33.7498525401304,37.7065689945292,42.4027978091048,9895.82797990905,12868.5418122791,16197.0829343365,20400.304810567,26442.269671034,9.12451527374107,28.7785151896898,58.6063176629557,135.688763873775,345.495045770106,13.4176333154005,19.4641571954723,24.4942473309556,30.1446114968584,41.6755333757434
1995,17874.736721555,21116.462463996,23169.1488848194,25357.076315888,27169.7971758884,94.4483666448468,122.179899838942,143.051410553755,160.275002753202,195.43504167815,31.1814662214757,34.7757540511272,37.0052406600577,39.8636588557041,44.9001715805252,11795.7034006145,14544.8851020448,17319.4990878886,20399.1352970936,30039.7981037187,10.5412699489822,29.7232492201703,57.3481063398127,117.917135061482,226.238129179619,17.8798842550532,25.0535839237678,27.6566661864176,34.7582660273211,46.5959671289863
1996,18492.8022863634,21343.3848621251,22983.4535339186,24931.1849302533,27242.1589356998,6.0539492378816,10.7388363937688,13.5544748302755,17.9214257461654,22.0157393104073,27.6455437020822,32.0291748245909,33.2476107738465,36.1021436614222,38.8617883916322,11258.8784104696,15033.1089094435,18724.6800628878,22894.8606537271,27290.9793819425,10.0201472982861,27.792158168837,46.5044090641199,74.3001164826685,166.287535771586,15.238148198094,22.479494775867,27.4140462709599,33.4602912953538,40.6820810873314
1997,20190.4856592267,23423.0917418496,25530.7939751582,27643.2228610701,29957.1920666816,38.3639920665783,57.5160588672031,68.5592248904388,78.1975615190342,98.8808547210658,24.1248699229902,28.2080747193954,29.6718342221439,31.3733934044988,34.4575462088041,10781.7106931901,17314.241776927,20896.1877562299,24380.6616464255,31158.0697613366,10.1107190559616,32.8692179436266,52.6031312624652,89.2248368728319,244.124703955319,17.2696868941852,23.7353153237457,29.8271135226799,34.0142604978232,43.7497254550036
1998,14974.5314401136,18479.6686438833,20587.4026496767,22093.9292895788,24569.4965625624,8.08173277385604,13.8663311910357,22.4740136540931,29.7318370004704,41.0957570285107,19.1522783176971,20.8984441566559,22.5994861134578,24.1734725453363,26.4113446401543,10128.8788789817,16709.1856862349,20408.3816605309,24188.7629224943,31164.7132264235,7.93208335774074,25.570337294009,48.6464666418652,93.1349493899038,166.939210787993,13.9347097275598,21.438709339767,26.1082967724672,31.9838476679798,44.5232513415112
1999,10307.0124642069,13721.1608920392,15272.5788020957,17269.0870771899,19024.4571150422,376.848611877519,444.867346297969,515.209455773166,595.666250825193,664.942770184971,19.5830095390716,21.5932235027508,22.728378447665,25.4262068034402,27.7289982901463,9843.95093693919,15054.6526600713,17957.2728387335,21745.5287962325,28987.088035657,20.1764676024471,57.6966165228906,95.61791475842,152.338153649431,338.639577557315,14.4549459839091,22.9826461921298,26.327649268364,32.2753991447853,46.3467375693551
2000,9571.09386283312,12815.5662154215,14482.6966180639,16312.3791955773,17793.1062992299,69.3189220249978,91.268248479643,103.793962084789,122.89847861329,152.08186818441,18.4688386786957,20.7417258029616,22.1878537379032,24.363681738113,26.7096791351167,9633.56625860292,14739.8279931576,17143.1874889206,21523.7093392076,27069.280881703,21.0262019273255,42.0736954056845,59.5949679085084,88.2763147366676,188.657690204439,14.1382120223903,23.6918943632595,25.9752796818842,33.0594705534903,45.0221473635674
2001,9152.82330297497,12376.2173982799,13925.4956224177,15453.1471245867,17176.7070169367,29.9686978870817,50.9838346341473,59.5629709161796,69.5800353341473,94.3095784170924,17.4535604039256,20.3259239804231,21.3510087154136,23.4796447475898,24.6329592228952,10471.3762751455,14655.1611701237,17052.8203518033,20436.9062375096,27794.9009895551,10.717832905191,27.6580241426549,47.3203525320561,91.6224052592251,229.444814162478,15.3380946956885,22.3424993590942,26.8619122057447,32.0960281660946,44.5436870513292
2002,12858.1332047613,16343.3269959988,18350.0087128898,21282.3434346856,23734.4919726852,48.8405830578989,65.0892635211639,73.9587374088287,101.207168399747,113.429298573994,21.6299410877723,24.9285695906245,25.9461445309896,28.7055756634684,32.3032297776908,10030.818188933,13784.3139383142,16006.7236722173,19877.1495322586,25103.031840279,15.7524952618377,42.7592823102962,89.7192862369562,148.623777669887,233.574351351358,12.7839592874233,19.808584233751,24.7843296736183,27.7185634938232,38.2019550361697
2003,19626.4435248246,23709.59618172,26397.2433174287,29494.111958067,34611.2926666944,34.3305119252525,47.8444229777068,57.5813859308431,67.7632079088842,92.044363302922,33.6680765261223,37.1147887891048,38.8108149916612,42.5311073798082,48.8216427881991,10156.4219738915,14270.530960641,16000.549249531,19961.2909218304,29283.3724821885,11.1110293756351,28.2880455334003,57.9853561128823,94.6968396523609,236.710225820521,12.7510553365027,20.7646793719876,25.2240481167868,30.7482213954751,45.0619705557949
2004,20292.5716756989,24274.9166306575,26535.2527081801,28978.1845332471,33981.8228226206,210.693071049439,267.353368394938,297.380015141062,336.988155825527,394.13707872866,29.7645599404105,33.207790102493,35.0343274835057,38.4477298318301,42.8204989819936,10267.6586497636,14126.20090064,16352.7795615565,19409.338960752,25030.8113079972,13.1562313273293,61.9947351123476,78.2816702095633,130.737636737705,193.354121006471,11.8354731002274,18.0265493329803,22.7938190669601,27.5778754950831,37.8219916845159
2005,16564.0440079697,19760.5097293961,21979.4987740035,23486.2749710836,27359.290572514,163.752075465056,218.00047493811,243.996658336813,276.880739385407,324.586628105087,25.9904837831886,29.3720353784296,31.6611697026286,34.0400753675714,38.1138703180573,8603.30616465292,12216.5480327796,15023.432679706,18279.6083539704,25504.0713822456,10.3439665550373,37.4121783678486,76.9326011324002,134.04772337858,258.132358563213,11.4535916019584,17.92045342824,22.6546161795561,28.4711912769771,41.0291870638451
2006,15337.8349896053,17764.0324068916,20011.8557882748,21289.5208461189,25020.2593271427,62.8699121851645,87.9890831201369,102.839605909077,115.925974427034,135.791070204429,24.397388105683,27.2482232659555,29.5807802850212,32.2398539609023,35.4114202639606,8929.77164021227,12198.7148828569,16087.8391579876,19236.3207007808,27005.2416446421,19.6863638142842,56.6256359745281,86.9371936852295,130.932702282909,321.885909660491,11.9194907555806,17.7113240024105,24.095619909066,30.5699932697962,44.4421160049799
