"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,57384.3019069119,63433.4373505473,69684.6747574635,74290.9707782935,83303.4496893361,851.093287940926,993.528017614015,1066.99431268463,1174.31832391012,1313.62947737153,74.4925843172028,85.1316028759123,93.3826579821098,100.653976867766,119.618138982929,2175.30282072797,4554.7911611783,6714.67872248973,10665.1964663401,17375.744544278,15.5397087977413,42.1724223940664,88.4566366208078,218.126697856428,506.498718607452,3.33668514408181,6.23333868968544,10.1309178484392,15.4297218863646,25.2305714321828
1981,58458.4874315726,65998.8246344011,71399.1504728428,76644.2104441849,83658.2412533016,702.259229278664,797.306182022329,866.300312516203,940.584802539299,1074.11727626289,74.8822348441442,84.1321030520273,90.0337811120576,100.08959473317,113.201350919806,3712.20630460094,6413.40735655697,9234.05216801633,13052.6269064219,22461.9921230077,20.2984021289613,56.8292700403803,92.9355216734715,142.840419923587,258.050810049561,5.72332810328403,9.67546093452379,15.0394429802433,20.4183485018115,32.7870899557376
1982,48692.4599448764,56960.915317714,61699.8332995356,68179.8464110081,74913.0344096971,182.988464564898,219.832353695897,246.846270130495,267.921525734676,321.782714715085,56.3730756213276,63.1426334980073,67.5833638033797,75.6260452746205,86.0817290218766,5263.17528059356,8565.27442083524,11044.4184124547,14884.8532929186,24021.0247905851,11.9590620081762,36.4295894219638,55.1505984251747,130.703134150842,283.650368230141,7.19347538100459,10.542811898446,13.9593850353325,19.3853798647149,28.8189748314601
1983,64986.3634921825,77015.4679489066,84341.6315024069,90100.193090308,99756.9464061946,231.812553015722,283.457132012115,323.475108920849,354.352987969693,387.047720061031,85.7038769641595,96.5922969733938,101.452841953407,114.220913661865,126.306457688506,7025.93984962617,13401.2449498539,16256.3469772469,22276.1953399161,29279.6555568534,11.5079990794939,39.1143783836533,65.9430212560348,111.10341845722,378.447791419943,10.1703827429534,16.3268533116385,22.3812092929848,29.0775479907838,39.8185606208223
1984,76824.9410165143,90320.9997317955,98171.9459131265,104541.681740583,116395.09431448,2288.31455876684,2625.893731546,2870.26214731423,3149.62668924956,3576.02403779176,96.3127475815844,109.021277984244,114.058123735016,124.669764348952,138.463686980133,8893.5788459682,14871.5062967168,17871.8172660321,23624.6327860015,31548.5632810845,23.713869884403,56.8590560808944,107.703996199901,206.47842024647,565.799034600417,12.2461995616543,18.1716368426455,23.1513965859554,30.4777413701931,42.6578242565705
1985,87869.2877424473,102197.262938931,111062.793839035,118887.422351547,134416.03318942,206.144911865768,271.084183799889,296.795119217862,336.15658185926,401.817322787018,108.422160438269,123.385326104753,130.185710235715,139.274641987037,153.924871416657,11943.6314054353,17248.0867367043,21700.4918423305,27958.765042454,35173.1911941927,16.8581762896783,43.8237177804645,73.1480427700966,122.663982000133,323.649859657116,15.5908254974731,21.5308708226255,27.1383838256094,36.6865613287361,46.590066085711
1986,77070.3067935396,89542.7567976607,95712.8236108942,103815.016708518,118546.40705006,36.1515456584092,42.9401245844623,48.5570119196661,53.5468621669865,69.3691140031146,94.1819501627606,105.386528511247,112.278285624685,121.492209813516,131.694565716546,11755.8206604193,18296.7751449491,22826.9576460432,27102.2223791736,35559.6579660635,14.128889134245,26.950187790513,50.0351028668675,106.93803889155,274.88827668235,15.3824601912774,23.3365635959766,29.6424949764796,36.4076362882672,50.4953474623773
1987,103560.020054244,122777.552008901,133607.766535112,144521.892046028,164373.27190886,28.989169119268,44.3100814435779,59.6044379074437,74.8178377042603,102.835280267583,154.790056219441,169.442698888363,182.103836826949,196.36487672513,218.501424118686,14140.9486524435,18523.8990589888,23286.2903408373,27432.7131963457,36426.0918990918,9.9797585717808,25.4823840351739,61.388100740902,110.105625652026,284.272252924992,20.489511801229,25.1311971808154,33.9961298397543,42.1611315056088,58.7063728218961
1988,116959.304910655,137736.066589215,147955.705188367,162079.963414268,185632.580535231,1114.95828554096,1357.82737403652,1488.8384929854,1662.09314033251,2063.86697343345,145.487473363264,158.353294826438,171.056896172265,181.480811640262,203.589023083279,14333.618714188,18317.8082409013,22143.9772122648,26689.7333987878,39752.9141062262,20.0793479959921,46.3460350587845,86.465485687505,121.746539337301,318.639715338534,16.4636611897388,21.5724225203663,26.9201263061608,37.7075745535567,56.7051329811522
1989,107412.800417809,125829.886822955,139359.743221123,151865.148393696,174048.310476909,34.8422486764446,46.8766061667526,59.3243901669783,81.0077505850788,97.4931703399595,168.502016903229,187.771348705959,202.506678114191,214.36188562378,240.823750978821,15436.1446244349,18546.2284641367,22442.5932057047,28362.1250065691,41829.8955125391,13.5917161730642,24.6388744584658,45.1438317230424,76.4193228452157,178.094450074347,20.2520578734597,26.2382759471573,32.2560333245497,44.8296418021835,64.0009849698483
