"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,67103.0223688237,93517.6460315939,111040.147329483,124426.887285266,145995.496425112,2389.69003814068,2770.3836584311,3026.59868081356,3389.40525840311,3976.04322641744,35.5531052952339,52.6964152584343,58.823812032218,66.5905211164763,77.266108749853,367.549130060874,3233.40664128103,8348.99468095184,31238.9520623913,222951.858393827,1.1298181328061,16.7021806806096,107.108650367928,462.424726836716,6177.93034099564,0.238231419165169,1.92463844813586,4.89492801337491,16.7867682635381,123.807132213475
1981,71306.7039159455,95724.6158707845,109973.658125671,124773.684406485,162318.962188494,1734.28467696926,2180.1589899578,2439.86124267452,2642.96168101463,3007.07970570961,35.3533280231549,52.0197116826345,58.5895941576159,67.0158626469851,87.402725503385,16035.8479378503,25587.4876803376,33501.8699213044,60252.5264031308,325185.820718702,0.594918103156925,11.3945919000358,86.7998520782165,492.181322635046,8041.49042494521,10.0451140266689,15.4903610422437,20.1423992347059,35.6607760647589,192.219304961619
1982,55023.4975339168,80999.5251712122,94129.7352553572,107764.490074888,205672.30178592,267.025099455371,388.924660897348,471.014818029416,555.543035723369,692.419244385569,23.8501746161912,37.2290107592751,42.0073963077313,49.7169819688102,94.284578761711,26261.90493294,40176.7776265204,51350.7506641703,79024.5640747321,381365.371718423,0.375008244325348,10.6497072337731,79.166877862554,383.185543931391,4179.53278774489,13.5839931264836,19.2207916623426,23.7526834816591,40.2173635819852,180.783963242479
1983,84048.1990378969,116180.230224463,135950.813480385,163593.510516771,325548.52778816,431.706518107664,633.72960852683,716.866803208593,826.091369381773,977.442360327799,42.1758822877269,57.4617376555565,64.7371220506355,80.5662907995546,160.563264470249,51869.1392912402,71858.3316782482,90630.5036222029,134697.627905317,447874.712200888,0.243317669121845,5.35353956137841,66.782790786802,328.079510997281,7744.36456385781,27.8489550366233,36.6489798388898,43.0421435974126,65.7960629901035,219.22900427562
1984,105366.325123522,142410.428524158,169164.666631293,207824.658964635,398324.284691608,7783.26373459221,8691.95489436918,9519.44638884308,10075.2953303524,11230.1617596788,51.1856162956545,68.9440636880045,78.1343761568554,103.327238054801,201.038083440048,75310.2783240307,100005.976827652,128035.065049425,189591.823220443,498107.990219805,0.822067732095282,8.03278797782062,57.3222247795164,693.458099399578,7499.77125878052,36.6332537922852,49.4048691500544,60.5612050545759,100.272170703858,254.653187679698
1985,127838.453584343,170426.264787903,202813.772643186,263953.150031673,594552.695737187,467.19390479099,637.445009229249,727.952826375787,829.444993601052,975.492309003221,63.1787888386128,80.539549050625,92.999588102729,135.004273900675,277.865434505843,102336.159443865,133804.943401446,167165.5484016,281907.493674655,779681.396467241,0.151412515005418,6.09253345929224,63.9875073090202,488.21958195892,5760.170260928,54.1163031522326,67.228512454075,79.7014522539596,135.650012929158,369.889802145794
1986,117177.687794007,156034.377249497,188080.82160869,278108.694858895,790990.620236109,0.0323591060130188,0.11431302373517,0.940921381949593,5.73682682719265,31.801934560427,59.711139338168,76.0260317837423,84.3591459731134,135.05283524687,430.319631049961,99881.4199027641,135939.890235463,172815.879347293,294721.314496728,1276485.90330111,0.0889566640421411,2.28192515701652,12.5810758181078,63.4735032333151,693.427677052272,54.3917086909538,68.447901285815,81.4351714800664,153.993993497291,687.931959341799
1987,191114.187674591,242958.501887868,279234.522105295,371575.371388254,1102714.91919701,0.0322701818993187,0.133461056091694,0.944639566020244,4.35894951469857,60.7335067591958,110.428240349987,132.909833883682,148.495483711437,202.700086417559,645.719888383648,140314.023565955,183446.547587366,222129.59572971,329597.346211298,1470251.72162818,0.161820366545526,2.17913839153329,13.0318728036631,72.2112343759107,1343.4533647547,84.3027485444658,100.703948966448,120.753538582349,185.321532371335,808.409133195309
1988,229706.14584787,284296.453008164,320155.507608193,416854.23285865,1365380.71654324,4236.38565125031,4773.54503654849,5248.51603864896,5712.17220248288,6825.89025859149,111.173087901759,130.493430781774,148.348587080335,191.659976818411,548.778606206898,172747.762351801,222149.116205933,274661.473447016,353473.662210665,1544197.4900384,0.209898191862068,10.9996017676329,115.203286047938,369.549436828639,4933.74615012879,87.8553122324432,104.126343146699,125.212770010643,174.341710439757,739.339702252581
1989,222049.429164254,272360.238699139,313387.801995974,388940.177989821,1305950.08476349,0.0243497120918087,0.365744745363351,3.4354228810907,20.1982166564189,85.6075274089653,131.156255792102,155.004675897089,174.883869169314,231.752932287283,722.886696525234,185677.593913717,231306.409143306,280110.968042922,380296.606905187,1471235.87736765,0.0503091754771676,4.06655031650485,16.4265803513515,117.185554549253,1025.16001066491,109.382352777347,129.794524578519,152.425689407143,223.8952357028,829.229949094132
