"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,55551.3297245547,63953.2521220319,69224.72351101,74430.7404628127,81547.7245427229,845.849533069058,1010.83415646427,1080.72816391667,1176.51521095859,1271.68565437411,71.7647169592023,83.6153600570582,88.6765460709801,96.7089691863675,115.390338334582,1907.04666927243,4471.8735092835,6747.56192579573,9660.13556215008,16293.8689575103,20.5336204717369,48.4827169074823,83.7497898006967,141.338310680681,321.588314427504,2.48784988267063,5.99739498549858,9.35670501049783,15.5564152670248,22.4634566700847
1981,57901.8426599798,66154.6437577053,71527.9498530033,76672.3813425997,83601.3160357545,682.74775502167,784.98827095024,875.325958568704,968.880720955321,1075.17579100963,71.2516639348679,81.6027689471159,87.6163340560864,94.8507038371521,112.135784974556,2647.74608654066,6540.49499086843,10242.7087600663,14041.5043144755,21833.0151102628,16.9026039758552,55.8636136897798,102.626348581651,181.538151980028,772.487085590502,4.14478676589618,9.72029464989008,14.4680824014948,20.9908106815073,31.9282343732116
1982,48335.7376852629,56591.506962682,61928.6147345019,67648.3053844109,74054.8471037931,181.929955532227,227.387699440333,249.792539956254,275.642571780217,309.170906211936,53.0988739420448,60.3601260332418,65.7969981007507,72.0626411747953,84.0319017119485,3971.93498417852,7943.63626863862,10701.623389288,15340.1369898523,22898.690661029,12.5645167375266,41.2296715540694,67.294754642816,125.772737901542,276.428786826,5.20192089765544,9.20033354889079,13.4160168700882,17.9379931913883,27.588209281357
1983,65157.2466243091,75861.6636986672,83165.2478921911,88971.9456369413,99299.2527728006,243.060414564913,283.663624012347,322.459394892709,350.167269621002,391.457169106212,82.1396501473022,92.2277735371757,97.8408604387042,108.805561648514,123.724565445958,7012.31968402474,11917.8269261244,14732.4128943461,20212.4102634468,29510.0735437383,14.1739790434774,39.9953327373071,77.3280025592987,149.348876184708,413.317275484255,8.5717149797298,13.9378381325787,18.9597915478083,25.9966287340907,37.7451694118498
1984,77565.4315804837,88221.8500303822,98034.7290573377,105463.212911717,117736.158511752,2295.57004646705,2633.69748295385,2855.85281364936,3068.40390669413,3324.39027465037,90.6443293571706,103.712584810857,109.981680163092,124.092420004366,135.548969384843,7983.54029832714,13585.6806135944,17044.4004901617,22152.6278049735,32719.3647015921,34.7926539328814,64.5413858670169,119.966718772087,195.826242222168,418.182971326089,10.548792013828,16.5742015591891,20.9488150642521,27.8270779320991,38.6723246549035
1985,89396.0679857675,103023.7539061,112496.927888135,119356.195595075,135203.53270758,238.430385346519,271.992682534883,293.551159351193,343.053541836891,397.921232080813,103.303428762101,118.530812280251,124.725032511672,141.469934570488,153.874900694512,10464.3065070293,16620.6784912647,19700.5615813777,27010.3406487958,45018.7496683456,11.3204014969901,32.8676000202411,69.0477360260947,131.072721617162,338.908511993117,13.0364439670243,20.5247876231182,24.9256139125782,32.1677173641387,51.1145600105545
1986,77569.7125890708,89415.3938669862,97856.5191923997,104507.760486869,117533.846850742,39.0289859679508,46.1033957566833,52.6166142235863,62.2270515059389,80.6901336579896,88.8145167047575,101.30203243154,107.455271954137,121.64374123322,131.336842385736,12377.4149230598,16987.614623407,21818.005221261,26949.6579898602,44268.4744460401,10.6084100171739,29.0183932417681,55.2105685814934,106.614075022101,209.284460946662,14.2905331755602,21.5944713945968,26.8874844030841,33.741485641656,52.0350269287914
1987,103432.523261581,123580.837049817,131372.90145115,141362.463342483,158135.562247384,32.5210608580722,48.1319631872416,55.7634184435961,66.6002108509341,87.5245618514752,142.88104705365,162.281546946338,172.065075148854,190.911365330981,208.553197190078,13705.0287280337,17928.988760391,22598.279616033,28891.5452030451,41785.4960274772,13.9631089545284,33.0800871854696,51.1967543525302,96.9778356108124,179.788996128825,18.4650191149418,24.8414528150959,31.2998860654062,40.6474376296998,63.0955263770072
1988,117109.843907412,139610.460334514,150595.683792999,159768.299627896,177922.959118748,1138.18332870386,1354.35999805989,1484.43747668112,1644.73529924815,1851.37024723189,135.005405980818,152.390163356608,165.996254663644,183.330870657975,200.507549699531,12909.1786326938,17691.2754497162,21527.4096903556,27904.4662166686,39053.2290212448,26.5180302835018,64.1418717447455,98.282239318171,180.337493371162,404.889956299688,14.6941902001157,21.5920385398549,25.8187331191692,33.2358662812333,48.0657416283534
1989,109838.68652664,129328.211432366,139536.590864447,150075.232490313,167799.083939789,36.3534868097525,50.9113342776043,64.9484161624393,87.1941572792639,126.781417315993,156.920467949907,181.741447122668,193.869979836826,212.665396035711,234.266566308206,12752.8725242482,18415.9448858461,21929.1895877419,29211.2065620899,36841.7374466319,14.2582032201207,39.9174541428843,82.4089578003593,132.402937733154,229.932822931981,16.8730093212458,25.2275691807539,32.7612255837875,40.6155990775826,56.1224498432285
1990,92599.9248390344,109637.47029055,117651.024616072,127130.358961337,141806.930695157,94.7979583956464,127.728093247453,158.869867904969,186.115499945265,246.026517535484,112.256857690237,131.172594597235,140.144778935544,152.03661459197,173.530876785603,9818.90672731507,16903.8104899063,20696.0123048261,26544.340079069,33430.3275496004,20.1784182598565,41.0159216119624,82.1673821645233,133.123039754406,256.115270869693,12.8110371126984,20.6821981266466,28.4969333333217,33.2606875775985,44.6333300193744
1991,84807.7375326151,102884.854652381,111523.374474679,119904.916300293,131447.56070148,9.92013040569393,21.8618044553676,28.4211984328148,37.6267068389721,52.5094390440461,106.301235294975,124.125566906775,134.736574211659,147.530479719074,166.804324243058,10405.8241062606,15702.5837954648,19820.8225709049,23709.046967602,32899.284802393,7.68862190698111,24.6139200733566,48.895098129192,77.8852136355345,249.376116321718,14.2289759296723,21.1833940656975,28.488875491812,33.4078409807376,46.2584966173749
1992,72111.9521346628,88481.1550939012,98843.0330682175,108292.950697477,120113.521479803,114.724893770259,132.791941695562,150.32304993977,166.981216254161,196.365029892545,83.874297438282,102.477533907976,114.521468862443,125.992112777083,148.415567397985,10396.1740876844,14585.0548361905,17866.835137209,22834.7012513016,29530.4601233437,18.6738167278454,34.3038257044171,61.7911394325933,109.104650892591,213.521014541814,15.0267312883834,20.7429608833966,25.9383804646065,32.5777408331585,42.5777007173316
