"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,55112.6422187188,61512.8198761561,67385.4509396847,72475.2071465374,83728.6613771463,823.506478380879,964.441132636669,1039.46080665234,1086.68771043209,1188.6473193275,72.9812563136296,87.4074217625381,93.8589155772502,101.319817864366,115.590032964517,1444.45831506358,4028.85755091075,7006.57532543471,9506.9841722227,20147.0474475457,19.9984801700069,52.8074798294802,110.423268829652,202.543636812794,362.668320356154,2.21956772248477,6.70595073835597,10.2676210837373,16.3852993660421,31.9372453385679
1981,56273.0966618011,63810.9910885499,67819.8680597545,72670.5377883682,83396.8100886492,689.087983752154,752.632177434902,830.600663569991,883.765405195486,997.084084438829,72.9502917505881,84.7219013105418,91.1097010734955,99.4973953641266,111.497390625191,2567.70797831269,6666.25582047176,9914.47119390798,13683.3912384009,25084.5119626123,18.9992980042723,49.6024127906292,94.3597556809656,200.977684466564,464.506845509952,4.06820148527534,10.5201195906171,14.9621825628288,22.3229105479634,39.9310040558163
1982,46467.8326823624,54096.2375997407,58443.6749478879,62854.7503411259,73607.1510753343,186.652904496743,210.955277892183,230.962536808542,256.463520511965,282.000472112646,54.256354693685,62.889189601148,67.3661470869294,73.8875884488123,82.6551708012177,3806.50304609393,7622.13988993332,11445.3776731735,15295.4698270223,26493.7455425952,12.1907542503474,35.9676229622644,61.9110934367697,110.592682916013,362.16306276448,4.64940069753892,9.90483640754465,13.8634317094332,20.0657195838624,35.4290731411939
1983,63124.2229503704,72368.7283614266,78107.1161309344,84321.1124122125,95585.2659640602,219.308770360374,274.125847262916,295.321193837106,328.154184761959,361.005734152915,82.0407907246411,96.1521306110466,102.890386976483,109.126255136104,124.044817749926,5596.31269215654,10716.7454024627,16185.993415213,21688.5813940811,35153.2679210981,19.0649547907579,36.5086196342085,67.6230918671898,116.434309033074,226.563658855618,7.7256521305488,14.5886274668145,22.0520972189825,30.3378610665954,44.761246871631
1984,75195.5082049369,86125.5435736148,91877.1267490248,98900.4578352231,111084.797661002,2306.29776012251,2534.24127129591,2696.03623743387,2872.44032458454,3265.45737988389,91.5273678712163,107.89687601714,114.200918064965,122.967487351285,137.448036926309,8151.87328008125,13766.8266141959,18596.9391815202,23189.9237850842,35671.7933063625,19.5690937698896,50.3338102231617,96.933122383796,163.050318231093,263.127822007999,8.44224755452396,18.738416117413,25.1927351101925,30.7916444748158,46.0052625618841
1985,85960.6224051139,98181.2781845187,103611.976301392,112414.916738501,124742.453145904,221.552499140994,264.908210361753,293.712672297135,312.801572269685,345.894407138642,104.234281846797,120.681011644887,128.598269014498,140.555285087935,155.613719290944,9462.64533515887,17157.5896383429,23858.0636254559,28554.6099115301,40822.2068640857,8.82966901581014,40.0155541250323,79.3316846020141,137.765157527764,250.837449385035,10.9016232459132,25.449939227756,32.223689468788,38.6184768208729,51.9232868735606
1986,75120.5691032127,84268.5581410381,90292.1057151035,95670.2283749493,106056.196333523,35.2961608104429,42.2095950478893,50.6986017552389,59.6932386931533,69.0248011423325,87.2860352065104,101.867222177577,109.46885452798,118.676341958776,133.084826185742,12250.6597298858,17024.4393107095,23336.9681367363,28927.0759523656,41304.8522547342,7.55442467241022,29.9813346717172,69.0135780198322,106.648337073458,226.129565574014,13.9865055366684,25.5448607279827,33.1836709454523,40.6118246251671,57.0771111901157
1987,103345.152807521,116121.328289715,123796.294554363,132077.245997008,149623.400615773,29.3242381178909,42.9037787574863,53.1884071511066,65.0906148700076,91.418182055612,139.285858516479,165.597934172807,178.784279377794,192.188393382281,217.316381135954,13019.3659154977,18402.6307195475,22142.5258644419,27214.3032707292,39697.7948125139,12.1772058956512,35.6390834460375,60.0120409630479,112.162639713006,271.972253253008,16.3386912183854,27.6271211313204,36.6040327590825,41.7001660913114,59.3320105595843
1988,116829.806494329,130777.53042722,138002.801744692,146502.201703413,164850.313196287,1161.20253172418,1271.22551495964,1363.41277113674,1530.46483191037,1771.55331027513,133.602888716489,159.508958904849,168.280591809009,184.817332889655,200.391463140804,13419.0555436157,18676.5183658409,21596.9266840871,25654.9244165642,36622.8407823575,20.9873235877728,46.9840910079644,92.9609466602351,150.28337656153,433.863256588986,14.5551845419505,24.4700441353869,28.659600719358,34.7760354013708,48.2686394829793
1989,108102.052418378,121113.138382864,128736.242487661,138995.277183004,157073.179736746,28.9371038567962,42.785399676203,57.2238876077632,75.1780084052686,107.457518171213,154.201465946104,185.692065788889,198.171766500882,216.451808676084,235.911979162821,14942.8893847465,19204.1762469536,22014.8298982093,25655.8077461493,36693.8324292061,9.18949474609044,30.8886181832603,49.6420980102278,89.5253916980535,229.985340285401,19.0545594733159,30.5215101970549,34.3464598298577,40.6314697177125,53.9187461840165
