"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,79069.7537936834,89417.5734518241,99422.1867109367,113988.754700266,138457.760665763,2208.21369639162,2539.71057700525,2708.0292458074,3142.08327304332,3743.95685797752,39.1155214044583,47.6381105056074,52.1012457147984,62.9641030316939,75.6328568296201,575.256278184505,1828.71992697319,6595.25588093968,30448.4511138857,76282.1171731984,0.546524760435421,6.77062087973899,72.5811263349259,524.723134128923,4613.17179410183,0.275588340302873,0.986284120227447,3.71573139021665,17.82567348099,40.3659490206875
1981,70903.1168761678,86368.4545791092,97022.3628396604,108056.405019827,134464.40431837,1897.19980113997,2016.3581624169,2276.16931400924,2477.73210653469,2827.8417262629,34.7623337416843,45.8007382104461,51.7994792091913,59.0951707771842,74.5578640946141,14080.8366577575,21156.548659222,25599.8239981363,52372.2186556052,101003.516378172,0.516065895865655,14.6831256267899,60.1977853371241,220.006525828798,2623.74699462887,8.41264259280788,12.5833893548366,15.6238311093292,32.8946126244602,59.8463874212039
1982,60263.9036497267,78832.9701790569,88162.5729466836,110725.6976296,175723.6947871,266.350790621593,379.360553579453,462.348847519007,533.269659030435,663.450733985306,26.1325194003832,34.0680211239215,40.5647674242699,47.1213104359038,82.3518214878073,20674.4228667963,30039.9575193955,42519.4820075004,79457.9058561573,397438.841123302,1.14026627438011,8.45726441045208,46.0011370588701,195.901139629139,5128.41196162327,9.71115381653924,14.2969215624297,19.6894349286321,36.8299322260947,192.451266096215
1983,98933.8998202318,117579.359393102,130750.478049023,169686.806268856,574688.49417937,493.181415260902,582.75592647988,679.645384222323,795.571751533798,903.112475375699,44.509281776089,56.8820712979539,65.1822595095499,80.8693608126361,316.517970228211,45656.4266035003,59034.1018638169,84254.3790679347,157305.704411727,979779.548933775,0.0708257698856058,6.58197954490633,39.5849660764672,247.615011591384,18361.8988408181,22.2181165729855,31.4495131205595,42.3385354122896,68.3700367189332,550.157961106998
1984,122087.952924902,145814.750660672,162070.346001167,203654.249350506,664518.958509353,7179.93119603853,8008.82622080353,8756.82906134646,9281.27770233219,10038.2621206483,56.1909953880543,68.0855941660162,77.1789636982292,91.5051679767587,342.300621094536,67137.0106483334,87453.3009690196,108682.402920406,164404.493678384,931648.503316627,1.25391624012251,19.1135776842251,106.772172758304,374.91971136717,7765.04427473218,31.9016069215588,44.6179157725623,54.2750720676159,75.3187820655622,483.535605068447
1985,140195.70355523,171636.831111863,192012.071041565,239816.136499975,712448.645995408,397.134610339847,556.594461228986,645.166403958553,751.745095918444,948.561936496847,63.6972744396054,79.2559434583892,92.756261503491,114.314912848537,358.071359211776,92985.7404697959,117829.412235656,144873.820144985,217143.443675696,975404.993556075,0.231214846245857,7.81191252030335,33.8523105801773,245.711884227443,2477.46656441723,44.8036055361634,58.0708969120727,73.9323306701471,101.513390784448,502.756875285665
1986,127934.103053748,152303.104227871,177443.821455177,237309.513416518,760077.65382671,0.0231439093310964,0.0562297249391618,0.569984176469429,2.36223135946891,16.6869718380935,57.4450390936679,73.7319023311555,85.3344375016344,115.472853411622,432.75165333813,94686.8976682555,123656.523866821,164449.585971283,246318.724464713,1126825.57804487,0.332548341547567,10.2046150861506,26.5408398290306,289.426650424329,3369.8866787492,45.3159285784946,62.433057971581,85.9889809419653,125.614094820007,649.976191305895
1987,205994.877138101,231394.281587177,278307.611537972,355152.692021135,774097.973311636,0.0249700932561124,0.0906913214740502,0.299798047768713,2.0828989325013,24.0316555910716,100.852845011695,131.112915356332,152.348037775363,191.273887023341,467.201835238504,145858.59831743,172717.303369562,216429.047311589,329794.396955151,1228535.643102,0.040360781794481,1.39377184683095,8.57956697887264,47.5499615983883,668.516795076844,69.1926083856512,100.854078757927,122.92695067268,184.543297408185,743.099730402535
1988,223125.375417879,273279.925138933,316922.830880671,398752.989775645,1050601.59534682,3845.44364709228,4251.24319606832,4705.07393066688,5258.14515065668,6136.77701510293,95.7875467994469,126.565769097598,143.347203180338,187.382014839606,538.917104394192,169254.70689476,214333.534528575,261461.754990502,388644.732181065,1522180.95742874,0.183481916802146,7.52713846919618,43.4001262938347,125.283656002544,5144.37207107923,71.3216463212304,102.118148251189,120.62857917808,180.092361558244,786.278165635688
1989,212006.342362631,264267.954561197,299396.705023034,395374.891255374,1117624.13662465,0.0265921617279666,0.124371310996697,0.967257511378479,6.34973357968916,24.8979389092765,113.2473332397,150.770220236303,165.162034545667,214.281490081863,660.69217741365,177603.262004574,225420.392740347,269393.097782287,392007.446992378,1444269.62488102,0.0834816740672893,1.08861853265426,6.26888052414203,145.393219425602,779.768041496063,93.6213053484093,129.173315050816,151.37164144518,219.092390263194,854.961691552764
1990,178075.658703626,222329.398059213,254510.230506534,294624.661129266,670083.96172283,237.276633864728,362.655886475777,452.677846096897,590.810384243662,697.151096709235,81.4878960520876,111.335004488704,125.416499249452,153.287923924308,359.478434475938,143302.918375444,186957.541245245,227554.909921381,291967.924776167,808605.281913736,0.464958042630116,12.4951397559173,30.1381825092002,122.06858181706,7077.1405331915,69.3281195030923,98.1386680951715,117.174109148679,156.7452078295,440.17512992735
1991,179923.994576587,212879.331989586,245290.9950871,294081.521226643,879212.445673886,0.0278950868549477,0.123892285411807,1.03241133756698,2.84611515149901,9.95130871324573,86.0417603312436,114.335997268473,126.95611712488,157.976505494535,501.006715022207,135421.455066363,173280.750705824,205838.79296877,281716.981312296,1141709.3524906,0.00849811673972125,1.30123735008868,10.0817329781372,81.4959453735541,782.029438441951,69.0171596813734,97.8999618735838,114.092545354433,150.827316026493,660.750957611154
1992,162664.768168783,190130.152251281,219982.077444102,260575.118944292,738926.157588255,185.631922877896,272.027788577425,327.169608067594,372.933547911475,458.01039258982,78.1145223516686,102.234528834915,115.695014775489,146.442485639997,427.424447574703,130645.136333922,161951.554326819,196708.351290781,232752.14264588,953079.756025312,0.363572687811606,8.73651628220048,67.8858248467586,313.065602709652,3999.34027949402,69.1298371220691,95.0778913469053,110.527618090737,140.29997701396,565.069049743152
1993,89098.8736761092,99001.5676712463,119838.165900733,139439.591442075,420476.571164981,0.0358146537798718,7.43526793567882,52.9443832530731,89.6982713296535,150.554076332794,43.7114024801624,51.0474553680897,58.2892331114093,72.5913312651122,231.723485975666,116246.464035467,138070.151074194,166594.692588787,220071.927705153,753676.380137911,0.0473171369931955,0.73497849557327,10.2560164536707,144.979429606,4944.97360796122,53.5841891546945,69.4128615154525,82.8317837079001,114.544896873104,392.713708521698
1994,36559.6794625499,47204.3412174992,52874.8607950278,67080.1352830078,177296.228685204,377.780908045548,481.053911924445,555.273263660408,643.821556729165,755.919803881619,21.904793451918,26.3407614724819,31.1844845572692,37.0335614271973,103.918206270603,79990.5998106774,97015.80077592,120603.527842551,149979.604227059,422913.843604886,0.330695743293848,8.86124000066464,46.0656945836253,396.739800205929,7182.08861668295,42.3923539008519,56.0074053134289,67.779339211661,90.6267795381545,255.399680998318
1995,35363.6302698947,42004.4589649879,46994.9157851068,63918.7260111465,135567.192700857,326.012655450331,412.837398110717,464.782292118112,558.667158766883,669.452988876848,22.1252983825308,25.3139594646769,30.4649557559571,40.456765542552,81.8978906857772,69781.5968823233,82205.557169816,106238.490707739,159639.915737989,349840.163322921,0.510091000146881,4.64191580820823,34.3104561073831,163.11605697355,2076.1348518753,42.5785165033737,54.7083186771752,64.9367734466815,94.1003248910189,211.079896740952
