"Year","Btilde_lower_95","Btilde_lower_50","Btilde_median","Btilde_upper_50","Btilde_upper_95","age0_lower_95","age0_lower_50","age0_median","age0_upper_50","age0_upper_95","T_lower_95","T_lower_50","T_median","T_upper_50","T_upper_95","KI_Btilde_lower_95","KI_Btilde_lower_50","KI_Btilde_median","KI_Btilde_upper_50","KI_Btilde_upper_95","KI_age0_lower_95","KI_age0_lower_50","KI_age0_median","KI_age0_upper_50","KI_age0_upper_95","KI_T_lower_95","KI_T_lower_50","KI_T_median","KI_T_upper_50","KI_T_upper_95"
1980,56356.4620558009,63652.3186042269,68288.595280938,74350.2020355453,84520.7804832841,867.01487357775,959.58894421293,1039.68407347453,1129.33402351959,1227.51490155306,68.5523878062581,89.5947416626254,96.2890717851234,104.56815834328,122.238914359661,1546.39028552266,4437.73618842016,7338.6452892004,9665.44450218959,17941.6359399083,25.1330652846385,74.3169945238956,127.41503418141,224.614608453972,404.605899802518,2.48656590841553,6.76573174692484,10.4276854470238,14.6220484280411,28.9090581336057
1981,57474.9901935952,64315.9674351513,69458.1508550743,75083.8210996142,86039.3221304177,659.062879026497,764.140535993353,825.207798309971,898.087045577003,1022.23801682394,67.4446088697526,86.3530086241479,92.9043128038555,103.32370669412,117.392886946618,3242.84777527627,6946.62825005904,9808.14010308699,12798.6056100189,24418.5688229832,19.8106826774272,51.5493925729238,84.4980282475698,183.278940952063,410.905610618412,5.26980707492625,11.3817649768691,15.5121919029857,19.2974820421041,38.2820803745399
1982,48239.814430887,54482.0878477804,59911.1701515615,65646.3803985411,76942.6609500147,178.739644799105,212.060053802567,238.929107178188,264.39557628223,298.817258779661,52.0164114228881,63.7854356804125,69.6673057021038,76.9359551536067,89.2270246061611,3903.33485544671,7472.52120941191,10615.5466589421,13890.5611907889,24203.2370983089,13.7090250498699,44.1701932086731,76.2475372053418,114.357146528936,379.203010009167,5.13405341035308,10.0594030708004,13.4452590011759,18.8103643180093,32.1655247319824
1983,65752.9674698157,73054.3489910263,79319.9228652541,87083.0316550849,101234.070122109,230.101490727806,275.699959718703,298.291153753534,341.855362523563,386.24636435694,81.271558212972,95.5844764678046,107.479854453837,113.620079916562,129.253361599889,6004.67003628471,10713.9859117729,16787.5958592572,21805.4737855945,29891.8758876963,20.7265367014659,35.1864711166005,59.1496274956667,107.936138506313,222.56041501637,8.34457979970253,14.6089681798091,23.3029141035944,28.0723208043469,41.6062421258522
1984,75922.2833405082,85946.5530622928,92970.0239172201,101293.999146202,116104.803382524,2164.59648775636,2582.8122371959,2790.71893780374,3019.64389529006,3318.40048303692,92.3177016998722,104.80430139785,118.888960401321,126.310268514986,139.100477185027,8830.60272313096,13382.2807279153,20019.4915740496,23517.7569058918,35767.0336191168,21.0620949047769,53.4966761305269,107.829910614891,170.838613999776,378.104240259305,10.8183041718692,17.7737800256248,24.7046937086253,30.4375417582841,42.1253286464525
1985,86319.6703585557,98000.8164089155,106151.935013469,114514.529282431,130673.089896886,222.614519900241,264.45076094859,286.525853883878,323.058681822968,372.309622438905,106.896942347728,118.665125786281,132.813255696752,143.419239938333,156.545584125591,10352.92647617,17598.5381563041,24117.5221970636,27290.8319672051,39361.5477660127,11.3569894935681,34.2473637831169,64.7297568312219,113.002836631191,215.088710045908,14.3336563983179,23.805788856721,30.2691819642947,35.8247502499765,53.2593791811771
1986,74376.6970673049,85431.2995597099,91485.7545355888,100360.709505535,111214.001623153,38.8208259834172,47.2106931830811,51.6838011419609,58.1726428417374,70.0731521138985,90.5431385606592,102.603171304573,111.873683570847,121.665270552651,130.07023225916,12249.3647616657,18002.0838900437,23203.5797435832,27310.7993213363,38376.5399377433,8.04308703603817,33.7159723710381,60.6348653658117,106.427308299094,197.449992325926,15.8069955122123,23.6639061615104,30.1082284349509,36.6128609304767,57.7059216421088
1987,99900.3693548544,117948.406248573,126900.712634987,138166.485620861,149477.154216583,30.8815827990251,47.974722395843,61.3177085383133,69.0722942666995,96.7736173903103,146.549787351826,167.712817845356,179.914336565568,195.109154336966,207.994840895123,11915.3829345152,18045.2968380961,21458.2521609382,28634.9064488494,34996.3517972376,14.4839768317757,34.0146685294167,66.8757421403319,107.528940081742,270.148312940034,19.4728336022447,25.6059197015734,30.589337629675,41.808206065706,59.3391000110546
1988,112312.074715122,132824.407238179,143038.592654705,156584.562475311,169053.913554479,1070.64749114996,1256.04473740054,1438.47536763092,1569.71322645908,1805.32454844249,135.773729638535,159.092953820997,172.047211585995,183.502604337554,201.88117446269,11675.5472682287,17712.8718023703,20006.444252431,26088.1425958213,32576.8257198099,18.3005318350223,47.6960861170174,101.284824959233,161.976019502855,346.855932262158,15.909114001064,21.9383882824911,25.3611022296264,34.9234065153166,47.6692835009653
1989,102719.82780841,124068.238189321,134841.663188362,144980.30125436,159534.318244373,31.5137094838374,53.9082413873353,69.2867476359508,81.7983672245718,124.772183888196,160.146235755044,186.57476031901,201.766609402994,216.315655509508,236.317842539616,11855.9025539306,18139.3695439099,20818.9579206037,24751.2564395497,32206.6827276751,11.0362620875398,33.8085493436428,60.0023994477519,105.224785114643,226.437470062081,17.1655766842587,27.0994163355853,31.8114624032196,39.9224581234932,54.3204537403585
